,0,1,2,Escala mean,Escala std
2007-12-31,0.0000,0.0000,1.0000,5.0000,
2008-12-31,,,,,
2009-12-31,0.0000,0.0000,1.0000,4.0000,
2010-12-31,0.0000,0.0000,1.0000,4.0000,0.0000
2011-12-31,0.1250,0.1875,0.6875,3.8125,1.1673
2012-12-31,0.0556,0.4167,0.5278,3.7778,0.9527
2013-12-31,0.1333,0.6000,0.2667,3.2000,1.0142
2014-12-31,0.0000,0.2941,0.7059,4.0588,0.8269
2015-12-31,0.0732,0.2317,0.6951,3.9756,0.9810
2016-12-31,0.0374,0.1818,0.7807,4.0588,0.8810
2017-12-31,0.0541,0.1959,0.7500,3.9662,0.9648
2018-12-31,0.1034,0.2414,0.6552,3.8966,1.0033
