Iterations,Function,Gradient,Time
30,3.307629550193148,1.8214216906316498,0.04214048385620117
31,3.3027341056146353,2.710229487810161,0.04359173774719238
32,3.2980972696524398,1.7365172273358433,0.044907569885253906
33,3.2937402389654196,2.5600998305990013,0.046198368072509766
34,3.289577067820576,1.6694599044912992,0.047539472579956055
35,3.2856281607779563,2.439447163612499,0.04889512062072754
36,3.2818255030049865,1.6169186072073505,0.05015850067138672
37,3.278189062302318,2.3421067505559057,0.051401615142822266
38,3.2746635903449173,1.576105272161439,0.052724361419677734
39,3.271268734856943,2.263164549239931,0.0539546012878418
40,3.2679585348990745,1.5447067817554072,0.05514836311340332
41,3.264752319357523,2.198712226027391,0.05639386177062988
42,3.261611024712733,1.5208236806703141,0.05757451057434082
43,3.258553614737228,2.145653788520632,0.058739423751831055
44,3.255546251550961,1.5029120322740537,0.05998563766479492
45,3.2526074752452034,2.1015479653751874,0.0611567497253418
46,3.2497074840703197,1.489728466884347,0.062302589416503906
47,3.2468643406450406,2.064478035513526,0.06346583366394043
48,3.244051419148197,1.4802795661918813,0.06462311744689941
49,3.2412862627261827,2.032944509327822,0.06574296951293945
50,3.238544789719502,1.4737766978890996,0.06684684753417969
51,3.2358439952903604,2.005777421284149,0.06798362731933594
52,3.233161871020633,1.469596908158176,0.06907892227172852
53,3.230514848165672,1.9820654518639715,0.07015419006347656
54,3.227882635495997,1.4672499212326846,0.07122111320495605
55,3.225281095057511,1.961099283466999,0.07233738899230957
56,3.2226913798898207,1.46635087022114,0.07339119911193848
57,3.2201287859180496,1.9423267726518563,0.07443475723266602
58,3.2175756984579227,1.4665981330890956,0.0755002498626709
59,3.2150468567007247,1.9253177569394815,0.07654452323913574
60,3.2125257114290853,1.467755545612126,0.07756590843200684
61,3.210026458991531,1.9097365967217346,0.07859134674072266
62,3.2075334827144966,1.4696382629422406,0.07966852188110352
63,3.2050604530439286,1.8953208500993073,0.08071088790893555
64,3.2025925786123532,1.4721016002494007,0.08174729347229004
65,3.20014302281694,1.881864763293897,0.08277678489685059
66,3.1976977320275517,1.4750322689749191,0.0838322639465332
67,3.1952693825002156,1.8692065147638566,0.08486485481262207
68,3.192844585984199,1.4783415181693045,0.0858907699584961
69,3.1904355519217558,1.857218369886999,0.08698296546936035
70,3.1880294969599583,1.481959778702106,0.09075140953063965
71,3.1856381840188295,1.8457990842295764,0.0921640396118164
72,3.183249383521815,1.485832486321741,0.09324860572814941
73,3.1808744318045408,1.8348680399212018,0.09428119659423828
74,3.178501609390862,1.4899168258112718,0.09530997276306152
75,3.1761418454024106,1.8243607160636224,0.09639453887939453
76,3.1737838927640953,1.4941791930224115,0.09743309020996094
77,3.171438292050315,1.814225185485538,0.09847569465637207
78,3.1690942357286125,1.4985932155795876,0.09955549240112305
79,3.1667618937097304,1.8044194012183463,0.10060691833496094
80,3.16443086910159,1.5031382080568148,0.10166025161743164
81,3.162110978213047,1.7949090910039303,0.10277819633483887
82,3.15979220915175,1.5077979650150646,0.10385394096374512
83,3.157484040854894,1.7856661204133755,0.10492420196533203
84,3.1551768235015327,1.5125598168778853,0.10595369338989258
85,3.1528797140661515,1.7766672175980005,0.1069800853729248
86,3.150583404145624,1.5174138904328092,0.10807633399963379
87,3.148296743363051,1.7678929775386625,0.1091306209564209
88,3.146010746003049,1.522352528799752,0.11043429374694824
89,3.1437339681833003,1.7593270826860894,0.11174225807189941
90,3.141457729785645,1.527369835829837,0.11295819282531738
91,3.1391903065403373,1.750955691440949,0.11415767669677734
92,3.1369233082441657,1.5324613177215671,0.11534571647644043
93,3.134664742670043,1.7427669570705877,0.11643695831298828
94,3.132406495065876,1.5376236007122228,0.11750578880310059
95,3.1301563170303863,1.7347506482030446,0.11870765686035156
96,3.127906355860353,1.5428542083868073,0.1203298568725586
97,3.1256641181572125,1.7268978485913031,0.12152791023254395
98,3.1234220007953293,1.5481513857881473,0.12256669998168945
99,3.121187275989144,1.7192007188714569,0.12364912033081055
100,3.118952578540713,1.5535139603241628,0.12473034858703613
101,3.1167249563592314,1.7116523069190637,0.1257612705230713
102,3.114497271253359,1.558941231658122,0.126784086227417
103,3.112276356416442,1.7042463963824965,0.1278836727142334
104,3.110055290392729,1.564432884465081,0.12894010543823242
105,3.1078407007908875,1.6969773852856807,0.12997651100158691
106,3.1056258732023134,1.5699889192630807,0.13100910186767578
107,3.1034172383560477,1.689840188362967,0.1322932243347168
108,3.101208279726504,1.575609597553526,0.13340115547180176
109,3.0990052394720378,1.682830158180043,0.13444018363952637
110,3.0968017902597147,1.5812953983151306,0.1355283260345459
111,3.0946039936180094,1.6759430211590696,0.13658928871154785
112,3.092405703145787,1.5870469835186423,0.13772082328796387
113,3.0902128073404684,1.6691748254600811,0.13884496688842773
114,3.088019332862441,1.5928651708289012,0.14003443717956543
115,3.0858310024591917,1.6625218983228316,0.14122843742370605
116,3.0836420083384875,1.5987509120401042,0.1423492431640625
117,3.0814579144839334,1.6559808109773,0.14339828491210938
118,3.079273071461941,1.6047052760993785,0.14451146125793457
119,3.0770928912043187,1.6495483496287173,0.14555120468139648
120,3.0749118757452854,1.6107294358078665,0.14658141136169434
121,3.07273529142259,1.6432214913332734,0.1476583480834961
122,3.0705577851205286,1.616824657482327,0.14896035194396973
123,3.0683844838045484,1.6369973838245924,0.15015506744384766
124,3.066210172841914,1.622992293001395,0.15134930610656738
125,3.064039845828689,1.6308733285434855,0.15257501602172852
126,3.0618684204781363,1.6292337737866547,0.15377497673034668
127,3.0597007628170543,1.624846766274574,0.154954195022583
128,3.0575319169791655,1.635550606354871,0.15607309341430664
129,3.0553666270343696,1.6189152649120537,0.15710043907165527
130,3.053200057805447,1.6419443691558349,0.15812325477600098
131,3.0510368368441982,1.6130765089742793,0.1591494083404541
132,3.0488722441092246,1.6484167104676473,0.1602637767791748
133,3.046710795912813,1.6073282905578128,0.16129398345947266
134,3.044547881959483,1.6549693471669507,0.16232085227966309
135,3.042387912452977,1.6016685014842487,0.1633458137512207
136,3.0402263816032997,1.6616040642331154,0.1644120216369629
137,3.0380675985009766,1.5960951264413858,0.16545844078063965
138,3.0359071567574913,1.668322714868887,0.16649317741394043
139,3.0337492692212313,1.5906062369530896,0.16754364967346191
140,3.031589623925309,1.6751272211516128,0.16858148574829102
141,3.029432342233658,1.5851999860496069,0.1696147918701172
142,3.02727320173367,1.6820195751408822,0.17063689231872559
143,3.0251162369595024,1.5798746035293636,0.1717233657836914
144,3.022957310286901,1.6890018403902722,0.1727755069732666
145,3.0208003739819205,1.5746283917237345,0.17381048202514648
146,3.0186413705335218,1.6960761538211113,0.17483949661254883
147,3.0164841744179736,1.5694597216940425,0.17589879035949707
148,3.01432480364291,1.7032447279229186,0.17693662643432617
149,3.0121670592990792,1.5643670298005925,0.17797112464904785
150,3.010007030388966,1.7105098532633694,0.17899775505065918
151,3.007848448957131,1.559348814593958,0.18005800247192383
152,3.00568747053821,1.7178739012850215,0.1810903549194336
153,3.003527762413807,1.5544036339893803,0.18213677406311035
154,3.0013655422398084,1.7253393273825228,0.1831674575805664
155,2.999204416770697,1.5495301026895716,0.18426251411437988
156,2.9970406614153022,1.7329086742532673,0.1853346824645996
157,2.994877826597989,1.5447268898262163,0.18638396263122559
158,2.992712241145793,1.7405845755194442,0.18743896484375
159,2.9905474033195976,1.5399927167989993,0.18848919868469238
160,2.988379691054501,1.7483697596260426,0.18951916694641113
161,2.9862125545926084,1.5353263552898795,0.19054579734802246
162,2.9840424166826125,1.7562670540177838,0.19165658950805664
163,2.9818726836790166,1.5307266254367036,0.1928703784942627
164,2.979699818856404,1.7642793896057178,0.19400286674499512
165,2.9775271888077235,1.5261923941516686,0.19772672653198242
166,2.975351293043544,1.772409805532201,0.19909310340881348
167,2.9731754625247158,1.5217225735728346,0.20020413398742676
168,2.970996228696605,1.780661454251486,0.2012479305267334
169,2.9688168910293875,1.5173161196370637,0.20227956771850586
170,2.966634008581611,1.7890376069387566,0.20331072807312012
171,2.9644508534949026,1.5129720307674106,0.2044534683227539
172,2.9622640080895435,1.7975416592491966,0.2054898738861084
173,2.960076721370382,1.5086893466652764,0.20651483535766602
174,2.957885594528583,1.8061771374466749,0.20756793022155762
175,2.955693857662725,1.5044671472033193,0.20862674713134766
176,2.95349812639477,1.8149477049258869,0.2097492218017578
177,2.9513016161956998,1.500304551411561,0.21079015731811523
178,2.94910095261874,1.82385716915481,0.21186542510986328
179,2.946899340843828,1.4962007165535136,0.2131977081298828
180,2.944693411785977,1.8329094890676216,0.21425676345825195
181,2.9424863647385546,1.492154837287215,0.21530747413635254
