Function,Gradient,Iterations,Time
0.0008642688499539,0.04296201949332,13427.0,67.26989388465881
0.0008631471107477,0.0432301337443301,5295.0,26.167741298675537
0.0009416121057584,0.0436170193720739,5005.0,24.48414087295532
0.0008632095921696,0.0431096088187487,12375.0,67.99293279647827
0.0008636749003434,0.0431666502810855,7940.0,45.192426919937134
0.0008626370141642,0.0432705882357774,4268.0,24.38432216644287
0.0008639402475643,0.0420182484972833,5039.0,28.977468490600582
0.0008628749488321,0.0416330460919806,11300.0,64.23720121383667
0.0004933382375168,0.0550811818677006,5359.0,30.261730670928955
0.0008637631876183,0.0417497433213295,10023.0,60.05850696563721
0.0008637756116778,0.0419748580043416,6545.0,39.19706177711487
0.0003172570404863,0.0440206703262547,1948.0,11.436765432357788
0.0008642825425244,0.0428492605875069,9282.0,54.53085851669312
0.0008648534550548,0.0425659451311404,3761.0,21.88056254386902
3.986636902339045,0.0428169320968799,5202.0,29.749112367630005
0.0008648702684555,0.0425373304842336,9518.0,57.762757539749146
0.0009449935949429,0.0421290216306527,5070.0,31.896922826766968
0.0008639595266347,0.0430831325409484,4692.0,29.556846141815186
0.0008638523316728,0.0428611250744563,6653.0,44.30714535713196
0.0008636065219161,0.0418535997382801,6151.0,47.91143465042114
0.0008633254600601,0.0430512920466693,5542.0,42.8545663356781
0.0001107361582596,0.0421959119185151,4842.0,37.34650468826294
0.0009432718233439,0.0432948450095185,3936.0,31.4624137878418
0.0008636411666723,0.0417599587790332,8079.0,66.40606594085693
0.000864770439732,0.0422539386597088,8998.0,71.53906202316284
0.000864376636882,0.0427275042512619,5619.0,47.38306617736816
0.0008624295563431,0.0415100548871445,5062.0,40.61424684524536
3.987486611202347,0.0431668242953196,2117.0,17.27051544189453
3.987487985977084,0.0420747718806362,8860.0,74.86052560806274
0.0008626795421795,0.0432725790960075,13454.0,111.26982879638672
