alpha,mu
2.1718811771923265,4.828925571056095
6.316431238672261,5.382100128572157
3.2560527968423627,18.02574965176447
5.878701139938815,18.16365907897461
5.6056989655014124,29.635463563209655
3.491027556671886,29.936812627414124
8.595407719513661,41.348501156416695
3.2079868563883647,52.42535533333099
6.380220665873114,52.81461742962164
4.3005367968555825,64.96865376987259
4.671443582112445,65.08727391978711
6.115042319317664,76.92550217061334
3.001736463400743,77.32176826346142
9.361318919124601,88.82686321513077
2.390959592625573,99.32621194612337
5.982279219765673,100.19068872781699
4.087117735677137,112.55128818751724
5.018391846539612,112.65302857736347
6.059338397216356,124.62542160433777
2.7214377126344886,125.02947146908615
9.891100105247368,137.3937050995172
-0.8075595319246096,142.63619804709688
8.92932080928655,148.95170538287744
4.715664502040739,160.37762155537652
4.43047820660747,160.514627561527
5.7368097850996795,173.1250053522525
3.9654379038662433,173.24389076813833
8.799165344991446,184.88049953917746
0.12059578684246226,194.74061906278362
9.875363078635278,197.40739808455896
4.581976366342593,209.2165943832144
5.6310054012201425,209.27543748388436
5.212006413225363,222.02656915356886
5.762922500344821,222.1040775698692
7.389426846509592,234.334837254756
4.911863087629129,234.80045958947534
