alpha,mu
6.384860672328335,5.2939958127021525
2.133293956158654,5.293995811130107
7.913490728769371,18.304698470927303
1.507103504056926,18.30469847200454
19.239234966158076,31.90612255210158
-18.958744075619347,35.28465242785268
16.76997186281657,39.26441379368773
4.631868845054329,52.53343151109642
5.2343408476075295,52.53343151106588
4.412816161958439,65.04540524138947
4.631563869577557,65.0454052414286
7.844792248571795,77.23931663497747
1.521896605232849,77.23931663527082
19.284681174976548,90.88971113422305
-19.83471347044242,94.37977771456613
17.766449917045716,97.93504331886855
3.5637394495156793,112.46333561589748
5.708916718529086,112.46333561580148
7.827290230809769,124.68242137583393
0.951297964894595,124.68242137215711
8.508583012220623,137.21023528172228
1.0102631995382882,137.2102352839607
8.649107633611482,149.1251839762693
1.4285380842372886,160.48175294362744
7.671472977395351,160.48175294041891
9.272973757573784,173.18214488142866
0.4226880420615966,173.18214489290338
8.795452303312773,184.87687357086338
4.089597528903406,197.38543264355107
5.935093906093371,197.38543264333765
5.257934227148879,209.25190052952536
4.953844994973858,209.25190052949367
6.321775836306653,222.07396988792445
4.656527287800029,222.07396988806474
5.950091790338848,234.52738633898983
6.33562481331373,234.52738633902788
