Iterations,Function,Gradient,Time
0,103311.28337090217,32716.26630761554,0.0
1,101686.25961960589,32285.54223135893,0.005933284759521484
2,98500.2610161815,31437.82493274199,0.012742280960083008
3,95398.10252782772,30608.677570443604,0.02297186851501465
4,92377.9443697382,29797.756908584684,0.029848575592041016
5,89437.98082127141,29004.72487648761,0.037923574447631836
6,86576.43971509143,28229.2484565515,0.044931650161743164
7,83791.58193725675,27470.99957743235,0.051801204681396484
8,81081.7009377286,26729.65501244397,0.05854940414428711
9,78445.12225078212,26004.89628311136,0.06644368171691895
10,75880.20302480613,25296.40956782403,0.07335472106933594
11,73385.33156098546,24603.88561555213,0.08010601997375488
12,70958.92686035902,23927.019664603195,0.08721685409545898
13,68599.43817875136,23265.511366411312,0.09507393836975098
14,66305.34458907408,22619.06471436416,0.10203123092651367
15,64075.154550492196,21987.387977685,0.10883879661560059
16,61907.40548394896,21370.193640398087,0.1155707836151123
17,59800.66335353925,20767.19834541488,0.1244056224822998
18,57753.52225321664,20178.122843786485,0.13251686096191406
19,55764.60399831588,19602.691949173328,0.13924956321716309
20,53832.55772136551,19040.63449758698,0.1460416316986084
21,51956.05947166103,18491.683312460806,0.15270757675170898
22,50133.81181806315,17955.575175105503,0.16157031059265137
23,48364.54345447919,17432.05080060256,0.16841673851013184
24,46647.00880748231,16920.854819183598,0.17510485649108887
25,44979.987645517,16421.735763135548,0.18199849128723145
26,43362.284689137436,15934.446059261432,0.18984746932983398
27,41792.72922172122,15458.742026914013,0.19670557975769043
28,40270.17470010201,14994.383881604108,0.20332098007202148
29,38793.49836456325,14541.135744168227,0.20996618270874023
30,37361.600847639005,14098.765655460038,0.2166135311126709
31,35973.40578117208,13667.045596508158,0.22623801231384277
32,34627.85940108647,13245.751514058195,0.2330160140991211
33,33323.930149341104,12834.663351390036,0.2396841049194336
34,32060.60827254367,12433.56508427211,0.2461869716644287
35,30836.90541671896,12042.244761882146,0.2527458667755127
36,29651.854217745342,11660.494552488939,0.25960683822631836
37,28504.507886994088,11288.110793650992,0.26608824729919434
38,27393.93979173509,10924.894046645111,0.2725996971130371
39,26319.243029900386,10570.649154790226,0.2790553569793701
40,25279.529998836406,10225.185305277775,0.2858712673187256
41,24273.931957714853,9888.316094058422,0.29264378547668457
42,23301.598583322244,9559.859593264255,0.2992281913757324
43,22361.69751900355,9239.638420563659,0.3058176040649414
44,21453.413916600293,8927.479809750706,0.31253933906555176
45,20575.94997129894,8623.215681759539,0.3202519416809082
46,19728.52444939201,8326.682715163863,0.3287672996520996
47,18910.372209056342,8037.722415069579,0.33546972274780273
48,18120.74371437029,7756.181179131544,0.342177152633667
49,17358.904542928292,7481.910359220394,0.3487098217010498
50,16624.134887570483,7214.766317030126,0.3554840087890625
51,15915.729052928516,6954.610471649293,0.36204028129577637
52,15232.99494770113,6701.309336817725,0.36852407455444336
53,14575.253573817417,6454.734545257461,0.3750028610229492
54,13941.838513924009,6214.762857104101,0.3815178871154785
55,13332.095418949477,5981.276149079592,0.3885498046875
56,12745.38149785415,5754.161380649908,0.3950619697570801
57,12181.06501206968,5533.31053301723,0.401599645614624
58,11638.524777565746,5318.6205164280855,0.40812087059020996
59,11117.149677950285,5109.993040967062,0.41565918922424316
60,10616.33819250424,4907.334445788816,0.4223136901855469
61,10135.49794356228,4710.555481668423,0.43073558807373047
62,9674.045268159314,4519.571041880378,0.4374985694885254
63,9231.404819344763,4334.299836818202,0.44420528411865234
64,8807.009202992833,4154.664008515281,0.4508953094482422
65,8400.298656267489,3980.5886824017666,0.45753955841064453
66,8010.720774090358,3812.0014553073142,0.46407604217529297
67,7637.730289953752,3648.8318209565823,0.470592737197876
68,7280.788917162544,3491.010537038508,0.4781930446624756
69,6939.3652560160435,3338.468941352906,0.48510122299194336
70,6612.934771500204,3191.138228477816,0.49181485176086426
71,6300.979844704246,3048.9487027054297,0.49834561347961426
72,6002.989899380936,2911.829027411127,0.5048501491546631
73,5718.461602839757,2779.705495187983,0.5115680694580078
74,5446.899137746189,2652.50134652985,0.5181164741516113
75,5187.814538495005,2530.1361670256406,0.5246789455413818
76,4940.728082788606,2412.525393340186,0.5332028865814209
77,4705.168726098528,2299.579956136021,0.5408475399017334
78,4480.6745640867,2191.2060830915457,0.5477535724639893
79,4266.79330611473,2087.30527708057,0.5543274879455566
80,4063.082741982349,1987.7744735191122,0.5608532428741455
81,3869.1111842844894,1892.506367397096,0.5674097537994385
82,3684.4578704602254,1801.3898855805219,0.5741500854492188
83,3508.7133118045454,1714.31076498032,0.5807154178619385
84,3341.479581351114,1631.1521837939877,0.5875542163848877
85,3182.370538364619,1551.795382950965,0.5941216945648193
86,3031.011993793577,1476.1202096421116,0.6006641387939453
87,2887.041827887935,1404.0055154201984,0.6074361801147461
88,2750.1100776681274,1335.329348163757,0.6139552593231201
89,2619.8790174367145,1269.96888976059,0.6205077171325684
90,2496.023259523451,1207.8001085559044,0.6270387172698975
91,2378.2299045621485,1148.6971158915683,0.6355235576629639
92,2266.198770578748,1092.5312379975096,0.6424760818481445
93,2159.6427279092445,1039.1698373455595,0.6491184234619141
94,2058.288162360862,988.4749418956554,0.6556971073150635
95,1961.8755818431816,940.301768673018,0.6635236740112305
96,1870.160371384466,894.4972636003863,0.6702651977539062
97,1782.9136870379314,850.8988270372513,0.6768186092376709
98,1699.923459261391,809.3334577572592,0.6833789348602295
99,1620.9954492725465,769.6176275139896,0.6902894973754883
100,1545.9542662367126,731.558287910926,0.6969850063323975
101,1474.6442085741264,694.9554954088944,0.7037229537963867
102,1406.9297409760627,659.6071909434045,0.7102274894714355
103,1342.6953651959332,625.3166453570147,0.7167463302612305
104,1281.8445976334194,591.9029231405593,0.7232778072357178
105,1224.2977469240093,559.2143535408371,0.7308254241943359
106,1169.9882145477065,527.1443516212138,0.7393522262573242
107,1118.857152715642,495.6479390636507,0.7460894584655762
108,1070.8465419411687,464.755986622577,0.7526664733886719
109,1025.8911219436327,434.5827525275207,0.7592546939849854
110,983.9101106899483,405.3213519137142,0.7659382820129395
111,944.8001731735537,377.2225691467396,0.7725296020507812
112,908.4314058025009,350.55641514576035,0.7790138721466064
113,874.6478156868907,325.56344976034364,0.7857708930969238
114,843.2726291830603,302.4111753228979,0.7925102710723877
115,814.1170066256781,281.172912664851,0.7992944717407227
116,786.9893367487616,261.83700301555996,0.805809736251831
117,761.7023349961689,244.33731981953082,0.8123271465301514
118,738.0767609416424,228.58557725467892,0.8188199996948242
119,715.9424700937919,214.49036754419933,0.8257184028625488
120,695.1383905381215,201.96077014068368,0.832261323928833
121,675.5126747416945,190.9014172558379,0.8405544757843018
122,656.9234622574438,181.20672067710595,0.8475353717803955
123,639.2400756826048,172.75849030001166,0.854010820388794
124,622.3442371824001,165.4277448337034,0.8605194091796875
125,606.1309329600351,159.0794676089597,0.8668866157531738
126,590.5087308785215,153.57828135259217,0.8732545375823975
127,575.3995569485791,148.79326641114946,0.8795616626739502
128,560.7380737185997,144.60102312399547,0.8860833644866943
129,546.4708441507909,140.88700464121297,0.8927066326141357
130,532.5554278255457,137.545719199094,0.898944616317749
131,518.9594839133092,134.48057177094236,0.9052379131317139
132,505.6598802783852,131.60404505959946,0.9115018844604492
133,492.6417456462198,128.838760553474,0.9177188873291016
134,479.89735723545994,126.11975927859244,0.9241476058959961
135,467.42473478791,123.39806942753896,0.9303348064422607
136,455.22582309567855,120.6452385167842,0.9366207122802734
137,443.30420217481293,117.85797855423357,0.9447226524353027
138,431.6623807307417,115.0614248152458,0.9524900913238525
139,420.29891261946796,112.3088457722174,0.9587903022766113
140,409.2058180191857,109.67524540596217,0.9649324417114258
141,398.3670393685403,107.24274578751755,0.9710073471069336
142,387.7587933027789,105.07770775382387,0.9770669937133789
143,377.35250309716986,103.20354367680432,0.9831950664520264
144,367.12036135819415,101.57770810938733,0.9897489547729492
145,357.0425811839611,100.08303911937148,0.9958474636077881
146,347.1145057933472,98.53967774333971,1.0018367767333984
147,337.35150639040614,96.73593076253849,1.0079355239868164
148,327.7901218122501,94.4704952473804,1.0138802528381348
149,318.48472197951514,91.5985375923211,1.020066738128662
150,309.49952709588575,88.07849104187713,1.0260353088378906
151,300.89592072720825,84.01935423923473,1.0320141315460205
152,292.71515001809786,79.72238091666652,1.0379445552825928
153,284.95804041203536,75.686998251294,1.0465834140777588
154,277.5684238231512,72.50829937269383,1.0541515350341797
155,270.4356033459465,70.59417069542003,1.0604891777038574
156,263.43200800706006,69.81074056052145,1.066441535949707
157,256.47666633640705,69.40344462965317,1.0724334716796875
158,249.58433077973694,68.31514328096783,1.0784597396850586
159,242.87515471847166,65.55589776145341,1.084596872329712
160,236.55734836998695,60.363968552878525,1.0909807682037354
161,230.90278037264707,52.223729110838235,1.0969624519348145
162,226.2222801113709,40.886812005446274,1.1028897762298584
163,222.83305786600187,26.600981576703898,1.108844518661499
164,220.9685802043812,12.18951828155794,1.1148946285247803
