Iterations,Function,Gradient,Time
0,106295.20525648954,32489.99786377678,0.0
1,104680.85173697193,32084.88478586288,0.0057201385498046875
2,101512.42786513345,31286.527418148315,0.0127410888671875
3,98423.03407715932,30504.229853838995,0.020960092544555664
4,95411.07879290101,29737.705171898342,0.026597023010253906
5,92474.99884283617,28986.6720610265,0.032079458236694336
6,89613.25891241399,28250.854713846787,0.03791189193725586
7,86824.35099684018,27529.982723920337,0.04607510566711426
8,84106.79386602163,26823.790985525062,0.051676273345947266
9,81459.13253939805,26132.019596121907,0.0570220947265625
10,78879.93777039637,25454.413761417363,0.06435275077819824
11,76367.80554025255,24790.72370291637,0.06952118873596191
12,73921.35656095948,24140.704567843986,0.07418990135192871
13,71539.23578710861,23504.11634129775,0.07949519157409668
14,69220.11193641125,22880.723760475816,0.08405661582946777
15,66962.6770187001,22270.296230808537,0.08859372138977051
16,64765.64587322943,21672.60774380386,0.0931084156036377
17,62627.75571411333,21087.436796399532,0.10019946098327637
18,60547.76568376187,20514.56631159818,0.10477662086486816
19,58524.45641419877,19953.78356014519,0.1093590259552002
20,56556.62959616926,19404.88008299406,0.11391735076904297
21,54643.10755597188,18867.651614290236,0.11834931373596191
22,52782.73283997744,18341.898004592582,0.12285518646240234
23,50974.36780682422,17827.42314404186,0.1296224594116211
24,49216.89422731113,17324.034885179026,0.13451790809631348
25,47509.21289203761,16831.54496511229,0.13901495933532715
26,45850.24322687104,16349.768926732222,0.14351177215576172
27,44238.9229163515,15878.526038678512,0.14791369438171387
28,42674.20753517342,15417.639213771321,0.15410804748535156
29,41155.07018791072,14966.934925634578,0.16087913513183594
30,39680.50115718035,14526.243123258928,0.16584062576293945
31,38249.50756046073,14095.397143278551,0.1703357696533203
32,36861.113015803974,13674.233619769075,0.17502212524414062
33,35514.35731669859,13262.592391413766,0.17977380752563477
34,34208.296116350546,12860.316405932183,0.1842193603515625
35,32942.000621660685,12467.251621719433,0.19079875946044922
36,31714.557297177093,12083.246906705233,0.1960582733154297
37,30525.067579297553,11708.153934509664,0.2006213665008545
