Function,Iterations,Time
9.608029829959381e-20,738.0,1.3088135719299316
0.7077914889219592,25.0,0.0441474914550781
1.1802897036403978e-19,1203.0,1.863227128982544
1.6698739630375162e-20,869.0,1.4158697128295898
3.8006772528012873e-20,852.0,1.6039106845855713
9.43199423312316e-20,748.0,1.3271112442016602
4.2494417930195087e-20,1535.0,3.3684487342834477
5.463963426231536e-20,1027.0,2.5981454849243164
2.612373083765803e-19,987.0,2.656794786453247
1.5000104546052503e-19,1090.0,3.4902000427246094
1.5695885217995442e-18,1325.0,3.942823886871338
3.8449191864812636e-20,615.0,1.728524684906006
1.2888820125719148e-20,1520.0,3.380406141281128
4.6071908684330365e-20,822.0,2.0026559829711914
5.671148181385494e-20,18.0,0.0358517169952392
5.4262373049134535e-17,308.0,0.6782093048095703
2.1297691327667962e-19,1599.0,3.340643405914306
3.664574592492045e-16,801.0,1.688861846923828
1.1273805252079302e-19,1194.0,2.4143259525299072
5.087777689443619e-19,1201.0,1.8440320491790767
3.232872617005021e-21,1592.0,2.934944868087769
8.958473057914505e-21,724.0,1.1871137619018557
4.6036972340519664e-20,440.0,0.6639089584350586
1.0624808279597822e-19,853.0,1.2716984748840332
8.766216333086143e-21,1506.0,2.5262279510498047
3.0089146820513073e-19,1088.0,1.7200772762298584
1.3414544549091906e-19,3540.0,8.89886999130249
4.625753615639881e-18,383.0,0.7589423656463623
3.800065807014047e-20,749.0,1.4491233825683594
7.876967165176001,20.0,0.0447797775268554
