Function,Gradient,Iterations,Time
0.3978874288605312,0.0010510523905345,6.0,0.0061254501342773
0.3978873967960511,0.0006841386733399,15.0,0.0265791416168212
0.3978880907520875,0.0028929400626524,8.0,0.0126104354858398
0.3978874336002603,0.0010968217764913,13.0,0.0192892551422119
0.3978874303147184,0.0010623558358157,8.0,0.0160286426544189
0.3978873789121444,0.000585602874138,11.0,0.0165855884552001
0.3978873725096759,0.0005461081618056,9.0,0.0141022205352783
0.3978875760511792,0.0009820935083081,8.0,0.0116734504699707
0.3978873927690045,0.0007818062453399,12.0,0.0175683498382568
0.3978873577419571,1.3070540612978348e-05,14.0,0.0238499641418457
0.3978874632653065,0.0013367800989943,10.0,0.014725923538208
0.3978876705688788,0.002220311276739,16.0,0.0254137516021728
0.3978873578020711,3.732999704179781e-05,8.0,0.0129454135894775
0.3978874143828993,0.0008162236919731,10.0,0.0157444477081298
0.3978879272791285,0.0017002394963157,6.0,0.0085201263427734
0.3978873588263052,0.0001462130479918,8.0,0.0107412338256835
0.3978875961435695,0.0010438184419052,7.0,0.0109665393829345
0.3978873614589564,0.0002843790851749,14.0,0.0213832855224609
0.3978873724269771,0.0005690346108691,12.0,0.0205776691436767
0.3978874581041262,0.0014626749991738,7.0,0.0107357501983642
0.397887385667422,0.0007127996209479,4.0,0.0066809654235839
0.3978873806423603,0.0004341395158051,11.0,0.0164358615875244
0.3978873688623226,0.0004181638553268,5.0,0.0082018375396728
0.3978873968230341,0.0006296467659279,14.0,0.0202038288116455
0.3978873844849537,0.0006463103552054,10.0,0.0161714553833007
0.39788737214915,0.0005141353041841,11.0,0.0161645412445068
0.3978873944065714,0.000759976858362,10.0,0.0146505832672119
0.397887479226752,0.0013897755014581,12.0,0.0224394798278808
0.3978875773502995,0.0015153056342522,14.0,0.0214626789093017
0.3978873577303982,3.111871325658323e-06,13.0,0.0190188884735107
