Iteration,Function,Gradient
262,528309.2498908476,0.6494019924845017
263,528309.2497829788,0.6269273303532609
264,528309.2496824311,0.605462643052195
265,528309.2495885777,0.5851714328470595
266,528309.2495008736,0.5656869688643265
267,528309.2494189385,0.5466155057872802
268,528309.2493424782,0.527918523778693
269,528309.249271174,0.5098196732725222
270,528309.2492046587,0.4924923525800441
271,528309.2491425646,0.4759243508098497
272,528309.2490845635,0.4600117958232796
273,528309.2490303704,0.4446689934367583
274,528309.2489797306,0.4298355094273362
275,528309.2489324171,0.41545986210181307
276,528309.2488882195,0.4015355939241898
277,528309.2488469324,0.3881275871360778
278,528309.2488083442,0.37530868533461154
279,528309.2487722472,0.36306006298834137
280,528309.2487384602,0.3512622217510483
281,528309.2487068361,0.3398005816350203
282,528309.2486772478,0.3286668245919563
283,528309.2486495652,0.3179415736261973
284,528309.2486236506,0.3076846575228555
285,528309.2485993719,0.29785795440634005
286,528309.2485766165,0.28835649318116957
287,528309.2485552933,0.27910182575916626
288,528309.2485353213,0.2700959873921505
289,528309.2485166176,0.26138895625978614
290,528309.2484990975,0.25300521846421686
291,528309.2484826813,0.24490958844893349
292,528309.2484673003,0.23704300615846727
293,528309.2484528945,0.22938310120116845
294,528309.2484394058,0.22196076396302683
295,528309.2484267745,0.2148164428329031
296,528309.2484149402,0.2079491035024036
297,528309.2484038493,0.20131561876933932
298,528309.2483934553,0.19487493165204745
299,528309.2483837168,0.18861967301327248
300,528309.2483745943,0.18256204013946212
301,528309.2483660477,0.17670483740701626
302,528309.2483580403,0.17104233606324418
303,528309.2483505377,0.1655829301527271
304,528309.248343504,0.1603479322657966
305,528309.2483369058,0.15533744970186497
306,528309.248330712,0.1505129194859785
307,528309.2483248967,0.14583267587038173
308,528309.2483194377,0.14130028025608643
309,528309.2483143116,0.13695538075351543
310,528309.2483094934,0.1328082856049421
311,528309.2483049614,0.1288026836316004
312,528309.2483007,0.12486569517875289
313,528309.2482966974,0.12099190800426954
314,528309.2482929394,0.11725450150559742
315,528309.2482894075,0.11372164087404747
316,528309.2482860826,0.11037573470845076
317,528309.2482829498,0.10713116775571209
318,528309.2482799998,0.10392575802307288
319,528309.2482772251,0.10077474545029703
320,528309.2482746161,0.09772875878465327
321,528309.2482721619,0.09479823149553815
322,528309.2482698525,0.09194015097137279
323,528309.2482676816,0.08911533318478934
324,528309.2482656433,0.08633683611421979
325,528309.24826373,0.0836498019518388
326,528309.2482619334,0.0810740770992961
327,528309.2482602454,0.07858287274204043
328,528309.2482586601,0.07613769077879604
329,528309.2482571728,0.07373021098289188
330,528309.2482557785,0.0713823500178105
331,528309.2482544716,0.06911368643755039
332,528309.2482532462,0.06692201539211746
333,528309.2482520973,0.06479680945788835
334,528309.2482510202,0.06273983817814231
335,528309.2482500103,0.06076209860031963
336,528309.2482490628,0.05886191362824009
337,528309.2482481737,0.05701571555015737
338,528309.2482473397,0.05519783348029436
339,528309.2482465587,0.05340891760743123
340,528309.2482458275,0.05167981520689014
341,528309.2482451425,0.050043282462141674
342,528309.2482444994,0.048501476102665066
343,528309.2482438954,0.04702196013071227
344,528309.2482433276,0.04556592327048104
345,528309.2482427949,0.044119503526979555
346,528309.2482422958,0.04269775965382143
347,528309.2482418284,0.041321521709988325
348,528309.2482413905,0.03999496366649114
349,528309.2482409803,0.03870678727308829
350,528309.2482405965,0.03744849919340618
351,528309.2482402369,0.03622511919402143
352,528309.2482399007,0.035046650324275154
353,528309.2482395857,0.033914790999006496
354,528309.2482392909,0.03282217440109083
355,528309.2482390146,0.03176264146009998
356,528309.2482387561,0.030737086530560974
357,528309.2482385137,0.029747053479245965
358,528309.2482382869,0.02878825956537698
359,528309.2482380744,0.027854926520249637
360,528309.2482378755,0.02694906405556287
361,528309.2482376895,0.02607949307054715
362,528309.248237515,0.025249766770174608
363,528309.2482373513,0.024450879579772933
364,528309.2482371981,0.02367013458572316
365,528309.2482370544,0.02290596818193326
366,528309.2482369199,0.022168527192844546
367,528309.2482367939,0.02146490816233327
368,528309.2482366756,0.020789401240898234
369,528309.2482365647,0.020130879135008866
370,528309.2482364607,0.01948669472741064
371,528309.2482363634,0.018864859214090333
372,528309.248236272,0.018270980587231405
373,528309.2482361863,0.017698872575687065
374,528309.2482361061,0.017138440571210833
375,528309.2482360307,0.01658929561724021
376,528309.24823596,0.016061164899443453
377,528309.2482358938,0.015560558126656219
378,528309.2482358319,0.015081250592986798
379,528309.2482357734,0.014611622691614094
380,528309.2482357186,0.014148257256369161
381,528309.248235667,0.013698381194362251
382,528309.248235619,0.013269173000628801
383,528309.2482355738,0.012857679634911613
384,528309.2482355314,0.012455274493813982
385,528309.2482354916,0.012058884378233445
386,528309.2482354544,0.011674176815388947
387,528309.2482354194,0.011306597058434368
388,528309.2482353866,0.010953269420559027
389,528309.2482353558,0.01060655950827343
390,528309.2482353271,0.010264094625866816
391,528309.2482353,0.009931295274693854
