Function,Gradient,Iterations,Time
1.3781160826815855e-10,0.0004447452907422,79.0,1.5820064544677734
80822.61227865581,27603.68345947446,23.0,0.6563658714294434
98756.57150830052,30247.674660363624,6.0,0.1860420703887939
119992.94289515787,35150.06308820737,3.0,0.0943434238433837
2.721572998170648e-08,0.0041406257606217,80.0,1.6632201671600342
5.903958106644918e-07,0.0032365153989031,92.0,2.217367649078369
354.4723936035779,197.7478494776917,38.0,1.0175950527191162
107082.32739105368,32999.808198972496,9.0,0.2807455062866211
4.462987257201424e-09,0.001606513675532,70.0,1.7524268627166748
6.0419586636099505e-09,0.0018742923203105,71.0,1.712937831878662
3.9741064808068544e-08,0.0002063258193356,94.0,2.0835323333740234
1.5860467701621716e-07,0.0117262286936091,69.0,1.75168776512146
8.140692370076234e-14,5.201272541245256e-06,79.0,2.0961430072784424
76319.21538622117,27481.55693132897,20.0,0.7131340503692627
1.0899221470105655e-09,0.0001657115614915,112.0,2.4353997707366943
3.409131580953467e-13,1.439498758852093e-05,58.0,1.5723578929901123
86.04691682983376,17.350316434271924,74.0,1.9132843017578125
1.937696886242787e-09,0.0016605129126901,76.0,1.8698673248291016
5.7996167507524695e-11,0.0001836908429976,89.0,2.324104785919189
3.2485644800014666e-12,5.4633665152098375e-05,92.0,2.363201856613159
5.066440496776703e-07,0.0118300105790067,63.0,1.4272418022155762
3.986623945582744,0.010287840346183,82.0,1.98549485206604
5.293357685640614e-09,0.0027516044688961,62.0,1.5854194164276123
221.06346945638663,32.471059611259655,53.0,1.4290220737457275
9.321937183856954e-07,0.0022818033290689,72.0,1.865586519241333
88940.39841921543,29609.002992475223,12.0,0.68180251121521
3.986623855710413,0.0009042067653404,64.0,1.814281225204468
6.5919143008758035e-09,0.0020619380379845,120.0,3.0833516120910645
143.88569298160246,43.040914577586506,54.0,1.5161964893341064
3.687385562318282e-07,0.0028165442626602,83.0,1.971315860748291
