Words,Scores
quedamos,29.631266287430467
basura,26.387266433232863
pobre,24.636552372498606
cobra,24.311649140411323
marzo,23.592082887430756
price,23.183798118470886
bought,21.171749061380048
rows,21.171749061380048
cierra,20.08886311109131
resalta,18.777735507146424
confiamos,16.775114920359197
due,15.834018296169807
excessive,15.834018296169807
family,15.834018296169807
poor,15.834018296169807
ramps,15.834018296169807
strollers,15.834018296169807
pienso,15.608772286009412
días,15.578892581890125
crédito,15.492799734364024
deseaban,15.492799734364024
doy,15.492799734364024
cerrados,15.241006303130229
decepcionados,14.639332440363939
admirando,13.945636900886683
especificado,13.945636900886683
ningún,13.945636900886683
opinar,13.945636900886683
quedé,13.945636900886683
nadie,13.766407291017178
establecimientos,13.583691226150398
públicos,13.583691226150398
sabiendo,13.583691226150398
1995,12.564551402954196
cuchara,12.564551402954196
enfadoso,12.564551402954196
interesan,12.564551402954196
bandalismo,12.48242698457663
caros,12.48242698457663
delincuencia,12.48242698457663
doquier,12.48242698457663
medidores,12.48242698457663
rotos,12.48242698457663
vidrios,12.48242698457663
opinión,11.885474955398221
19,11.796041443715378
21,11.796041443715378
avisados,11.796041443715378
guardía,11.796041443715378
importa,11.796041443715378
puente,11.796041443715378
retiremos,11.796041443715378
turístas,11.796041443715378
básicas,11.759641225528595
cédula,11.759641225528595
entran,11.759641225528595
impreso,11.759641225528595
seco,11.759641225528595
talón,11.759641225528595
título,11.759641225528595
válido,11.759641225528595
expensive,11.685258730398761
debieran,11.479823931426415
llamativas,11.479823931426415
medas,11.479823931426415
vacías,11.479823931426415
dirty,10.585874530690024
needed,10.585874530690024
seats,10.585874530690024
selected,10.585874530690024
seven,10.585874530690024
admiren,10.500016101034545
emocionaba,10.500016101034545
entendemos,10.500016101034545
gasten,10.500016101034545
resulte,10.500016101034545
sentí,10.500016101034545
soso,10.500016101034545
abandono,10.373440293685766
arreglos,10.373440293685766
atestigüe,10.373440293685766
coloso,10.373440293685766
creado,10.373440293685766
dejado,10.373440293685766
especie,10.373440293685766
isla,10.373440293685766
noté,10.373440293685766
obtener,10.373440293685766
preguntando,10.373440293685766
respuestas,10.373440293685766
veracidad,10.373440293685766
carisimo,10.035053713051889
cheque,10.035053713051889
decepcionada,10.035053713051889
fanática,10.035053713051889
iba,10.035053713051889
nómina,10.035053713051889
pidieron,10.035053713051889
pretextos,10.035053713051889
salí,10.035053713051889
tarjeta,10.035053713051889
pm,9.69938311789385
abre,9.49830920621413
siendo,8.610177134557503
planear,8.531847070659182
friendly,7.787720810338383
sobra,7.453330099562074
necesario,7.281247371781101
luces,7.082257614410414
puedo,6.9824887697515035
verlo,6.957119160596151
puedan,6.942666314861978
inmueble,6.810382678423939
quiza,6.678743231626394
turismo,6.608393165921795
luz,6.533014853045521
coraje,6.364896935130712
love,6.267047564163607
apreciarla,6.232985958030011
liked,6.196801113906619
empezar,5.958492945147888
tourists,5.9328606572100115
dioramas,5.9045347527002985
posible,5.85942811898793
show,5.802054291425224
buenos,5.768285926790984
entry,5.74015408307514
limitado,5.677514889491337
visitaste,5.650394699416641
clásico,5.647331167163361
hijas,5.615879699372062
miles,5.611209338309823
ocurridos,5.577793653947694
relación,5.577793653947694
tarde,5.577043361394001
pago,5.51836516329097
tickets,5.464389183949436
conservacion,5.451056932450045
poderlo,5.423511699587068
consejo,5.384676595600282
caro,5.33217333138091
careciente,5.32834999507098
copias,5.311146284971317
restaurado,5.226374506750685
considerando,5.205723223551137
esperaba,5.205723223551137
fama,5.205723223551137
festivos,5.187528897870179
territorio,5.185041066724459
rodea,5.078212248289495
arriba,4.88902636719939
idioma,4.858177813091653
conocí,4.849635844145719
recorridos,4.825817645088269
orientan,4.804600010422479
decir,4.800633519529338
exámenes,4.800595966207072
guadalajara,4.793248934394341
detallen,4.726006252407011
entiendo,4.726006252407011
estrategico,4.726006252407011
riqueza,4.726006252407011
verdad,4.7227689126620795
vendedores,4.701518657098395
requiere,4.678671318499616
aledañas,4.663723312481988
destacable,4.663723312481988
propio,4.663723312481988
turistear,4.663723312481988
enough,4.606761966164414
acceso,4.605675971098483
corazon,4.598144042947404
cubrio,4.589590803574962
esperando,4.589590803574962
expectativa,4.589590803574962
realce,4.589590803574962
ambulantaje,4.484107412821496
suciedad,4.484107412821496
verla,4.4779453701900005
presumir,4.471886813370725
poner,4.450749356985813
semejante,4.428523236886224
derecha,4.4234945510336
detallada,4.4234945510336
establece,4.4234945510336
principalmente,4.4234945510336
revela,4.4234945510336
icónico,4.42313478416861
mayoría,4.367438386118624
presenciar,4.3330396267001445
viajas,4.31698399279967
adelante,4.295982794298396
apagando,4.295982794298396
apresurando,4.295982794298396
fights,4.284648148720098
happend,4.284648148720098
ponig,4.284648148720098
paguen,4.2710123704352085
mirar,4.264102331324439
cobro,4.239889846441946
ayuden,4.218524186448504
guiass,4.218524186448504
thing,4.200275681528522
mal,4.194096021350997
mayoria,4.194096021350997
ridículo,4.194096021350997
pudimos,4.181981323973385
momias,4.1486746829761305
extenso,4.091550866485774
opor,4.091550866485774
supuestamente,4.086190239171077
nuevo,4.061070964855148
calles,4.036028003370814
think,4.018307116930502
visitamos,3.9709634219227072
imagine,3.964198169393324
campaña,3.950095451209479
centra,3.950095451209479
escala,3.950095451209479
grandeza,3.9445287596796237
gobierno,3.909664019319269
sit,3.8807878887899827
escritas,3.851026499558242
quizá,3.851026499558242
basilica,3.848832811897261
cercas,3.848832811897261
enchiladas,3.848832811897261
esquisitas,3.848832811897261
mineras,3.848832811897261
besides,3.831374409760898
desperdiciadas,3.8103134616718415
política,3.8103134616718415
socio,3.8103134616718415
comente,3.750333847763719
originalidad,3.750333847763719
quizà,3.750333847763719
veo,3.750333847763719
funcionamiento,3.714522562903749
funcionó,3.714522562903749
cera,3.683321285619498
kiosko,3.683321285619498
reparación,3.683321285619498
rodear,3.683321285619498
apreciadas,3.643478181133435
recorren,3.643478181133435
instalarse,3.6194619601263978
paja,3.6194619601263978
poca,3.6194619601263978
calidad,3.603783131348548
históricamente,3.5915429304921074
curadores,3.5492806372783186
despotas,3.5492806372783186
dueños,3.5492806372783186
empleados,3.5492806372783186
engrandese,3.5492806372783186
peor,3.5492806372783186
pésimo,3.5492806372783186
cubre,3.508513420549229
manzana,3.508513420549229
leer,3.506712081622144
zonas,3.504303651704351
criticar,3.4814535309565686
viajen,3.4814535309565686
visitenlo,3.4814535309565686
cierran,3.4662200621102315
decepcionó,3.429901515230347
implica,3.4219804354441616
acepta,3.408218567211954
carga,3.408218567211954
fanático,3.408218567211954
mirarlo,3.408218567211954
series,3.344365485194795
hasce,3.330329720593935
impecablemente,3.330329720593935
luegar,3.330329720593935
relleno,3.330329720593935
material,3.2371174601743102
demasiado,3.233145942897453
cámaras,3.2258314621187187
profesionales,3.2258314621187187
recuerdes,3.2258314621187187
rescata,3.2258314621187187
sorprendente,3.2258314621187187
usarlas,3.2258314621187187
llegamos,3.223298320420199
details,3.2225156240652657
antecedentes,3.212478263856055
conservar,3.212478263856055
desgastada,3.212478263856055
ilumina,3.212478263856055
aspectos,3.20942112375822
precolombinas,3.20942112375822
señalización,3.20942112375822
sucede,3.20942112375822
viendo,3.20942112375822
lunes,3.164764335382046
year,3.1203588716903035
sucio,3.070710791428384
cinco,3.045643171957636
dijeron,3.045643171957636
dijo,3.045643171957636
fin,3.045643171957636
guardia,3.045643171957636
insistimos,3.045643171957636
máximo,3.045643171957636
preguntó,3.045643171957636
decía,3.0444933165309003
tráfico,3.0444933165309003
entrar,3.0293808517447176
caso,3.0276404511542525
documentos,2.9916618283482466
tan,2.963000600840784
explicar,2.954890668680935
ponen,2.8894209833325024
menciona,2.8658188371607447
exactly,2.864788190457912
moustaches,2.864788190457912
overpriced,2.864788190457912
rancheros,2.864788190457912
research,2.864788190457912
sporting,2.864788190457912
abunda,2.847348562441247
enfatizar,2.847348562441247
guión,2.847348562441247
insertó,2.847348562441247
repetitivo,2.847348562441247
suena,2.847348562441247
ofrece,2.8380167250253066
mamá,2.807939849686031
papá,2.807939849686031
vestigos,2.807939849686031
vimos,2.807939849686031
extranjeros,2.798321599028411
famosa,2.780742765112341
envuelve,2.7757732252877214
burned,2.765138357473934
care,2.765138357473934
cerrado,2.7212827848393104
desplegada,2.6497232830133925
feroz,2.6497232830133925
grano,2.6497232830133925
revolucionaria,2.6497232830133925
utilizado,2.6497232830133925
utilizó,2.6497232830133925
anyways,2.6454413711552336
blatant,2.6454413711552336
grab,2.6454413711552336
money,2.6454413711552336
photograph,2.6454413711552336
putting,2.6454413711552336
pared,2.64327846574634
honestamente,2.636866459958444
antigua,2.623464539696357
cuanto,2.584075591067482
hagan,2.5827569184486667
dicen,2.55602215053074
told,2.518577177510613
audio,2.51303959130478
70,2.495417160784281
distribuidas,2.495417160784281
meter,2.495417160784281
trajes,2.495417160784281
sencillo,2.4774258065625663
presentación,2.471572970847505
aunque,2.471377783458854
profesional,2.4706655477780757
extraordinario,2.4539167947902034
aconsejo,2.4290889065458265
consigas,2.4290889065458265
hablas,2.4290889065458265
independiente,2.4290889065458265
interese,2.4290889065458265
leas,2.4290889065458265
sobrecogedora,2.4290889065458265
ahí,2.399141836875003
barato,2.3966244671971704
ganas,2.3966244671971704
gloria,2.3966244671971704
ilustraran,2.3966244671971704
recomendacion,2.3966244671971704
