iteration,fx,dfx
0,4266.0292983881545,2787.292659268257
1,766.332024815462,575.5935276017025
2,508.7970568506611,350.9584791659224
3,401.4978131983651,266.8804918808388
4,336.83552459202383,220.59762274776384
5,291.63106100880407,190.70403464545703
6,257.40392125333756,169.0383954301107
7,230.31223149570613,151.94240683793825
8,208.3341840115581,137.6112835059647
9,190.26890279284424,125.10685061589251
10,175.32310299137245,113.93809293006598
11,162.9210808605365,103.85938352388469
12,152.61210409052356,94.75966004749134
13,144.02485975231855,86.59372388213832
14,136.845884524735,79.33609869784455
15,130.81006692697656,72.94958978305188
16,125.69661219646324,67.36601732651165
17,121.32673319499665,62.47907167107039
18,117.56102357673865,58.14933657703433
19,114.29553301470818,54.21950141114618
20,111.4562931474393,50.53509423120552
21,108.99258332843772,46.964750322275904
22,106.86961385500864,43.41499044346836
23,105.06151288696428,39.83692918957574
24,103.54549154171222,36.224859088457315
25,102.29782547742487,32.60840973726489
26,101.29189167715829,29.04084555451581
27,100.49805810368726,25.586226878088368
28,99.88488178638983,22.307796252779365
29,99.42092528256664,19.259216788702698
30,99.07656515194812,16.47937859851594
31,98.82537196950669,13.990638492868312
32,98.64488727631122,11.79976231200123
33,98.51682339284166,9.900579132071874
34,98.4268273040588,8.277390244261664
35,98.36398341638923,6.90838882443819
36,98.32020916076793,5.768616226812075
37,98.28965279623239,4.832221178658082
38,98.26815661666053,4.073961463037856
39,98.25281236613488,3.469999343396574
40,98.24161189913934,2.998123999612151
41,98.23318328285829,2.637618125561527
42,98.22659738653292,2.369060250338153
43,98.22122944069022,2.1743409173150723
44,98.21666177267555,2.036996923330799
45,98.21261647516032,1.9427102309703252
46,98.20890934258944,1.879686796690794
47,98.2054186537175,1.8387254412321248
48,98.20206417481197,1.8129815805817564
49,98.19879312269848,1.7975540811757402
50,98.19557082626986,1.7890326630595255
51,98.19237453805131,1.7850929941626583
52,98.18918934611332,1.784173710320899
53,98.18600548028421,1.785236395790832
54,98.18281654070572,1.7875951054683534
55,98.1796183348164,1.7907987872220905
56,98.17640811477985,1.7945517371449715
57,98.17318407800012,1.7986604656497895
58,98.16994504022989,1.8029985040413772
59,98.16669022177746,1.8074832252479398
60,98.16341910775607,1.8120606351694415
61,98.16013135677228,1.8166954193459282
62,98.15682674128598,1.8213644403208955
63,98.15350510866766,1.8260524944444045
64,98.15016635577769,1.8307495453047296
65,98.14681041237725,1.8354489209427975
66,98.14343723030555,1.840146139560756
67,98.1400467764218,1.8448381448290543
68,98.13663902800556,1.8495228080233868
69,98.1332139697593,1.8541986039370806
70,98.12977159185984,1.858864399945635
71,98.12631188869106,1.8635193187409917
72,98.12283485802384,1.868162649027154
73,98.11934050048472,1.872793787439902
74,98.11582881921636,1.877412200794859
75,98.11229981965907,1.8820174015711932
76,98.1087535094141,1.8866089320139674
77,98.10518989815868,1.8911863538495715
78,98.1016089975946,1.8957492416576802
79,98.0980108214188,1.9002971786258784
80,98.09439538530748,1.9048297538575667
81,98.0907627069092,1.9093465606930153
82,98.08711280584336,1.9138471956917789
83,98.0834457037014,1.9183312580472753
84,98.0797614240501,1.922798349284142
85,98.07605999243565,1.9272480731409762
86,98.07234143638713,1.931680035574878
87,98.06860578542063,1.9360938448462863
88,98.06485307104197,1.9404891116569172
89,98.0610833267492,1.944865449322994
90,98.05729658803311,1.9492224739720265
91,98.05349289237834,1.9535598047553802
92,98.04967227926201,1.9578770640714394
93,98.0458347901514,1.9621738777958824
94,98.04198046850082,1.9664498755166469
95,98.0381093597477,1.9707046907719044
96,98.03422151130553,1.9749379612898201
97,98.03031697255804,1.9791493292291609
98,98.02639579485025,1.9833384414200315
99,98.02245803147866,1.9875049496041355
100,98.01850373768094,1.9916485106740296
101,98.01453297062277,1.9957687869109135
102,98.01054578938515,1.9998654462205157
103,98.00654225494901,2.003938162366659
104,98.00252243017876,2.007986615202113
105,97.9984863798054,2.0120104908963383
106,97.99443417040692,2.0160094821597405
107,97.99036587038833,2.0199832884640636
108,97.98628154996074,2.0239316162585403
109,97.98218128111768,2.0278541791814386
110,97.97806513761154,2.031750698266629
111,97.97393319492826,2.0356209021448355
112,97.96978553026052,2.0394645272391903
113,97.96562222247996,2.0432813179547713
114,97.96144335210852,2.0470710268617625
115,97.95724900128756,2.050833414871919
116,97.95303925374725,2.054568251408014
117,97.94881419477335,2.05827531456595
118,97.94457391117407,2.061954391269239
119,97.94031849124528,2.0656052774155587
120,97.9360480247347,2.0692277780151147
121,97.93176260280498,2.0728217073205366
122,97.92746231799656,2.0763868889480714
123,97.92314726418847,2.079923155989828
124,97.91881753655889,2.083430351116868
125,97.91447323154478,2.086908326672932
126,97.91011444680115,2.090356944758629
127,97.90574128115819,2.0937760773059133
128,97.9013538345791,2.097165606142704
129,97.89695220811711,2.100525423047529
130,97.89253650387055,2.1038554297940726
131,97.8881068249391,2.10715553818555
132,97.88366327537814,2.1104256700788246
133,97.87920596015364,2.1136657573982434
134,97.8747349850959,2.1168757421391384
135,97.87025045685304,2.120055576361009
136,97.86575248284475,2.123205222170387
137,97.86124117121508,2.1263246516934236
138,97.85671663078504,2.129413847038253
139,97.85217897100583,2.132472800247216
140,97.84762830191092,2.135501513239031
141,97.8430647340688,2.1384999977410337
142,97.8384883785356,2.1414682752116256
143,97.83389934680737,2.144406376753084
144,97.82929775077305,2.147314343014904
145,97.82468370266719,2.15019222408788
146,97.82005731502281,2.1530400793891165
147,97.81541870062527,2.155857977538217
148,97.81076797246546,2.1586459962248794
149,97.8061052436937,2.161404222068166
150,97.80143062757472,2.164132750467723
