iteration,fx,dfx
0,24.199999999999996,232.86768775422664
1,5.352911580008964,49.030587472116395
2,4.117789857067972,1.8261631740507651
3,4.114552150338377,1.7747378177931332
4,4.111402274582486,1.7750471647235724
5,4.108251122273362,1.7754530868995404
6,4.105098527498395,1.7758599889839997
7,4.101944487005585,1.7762675703612105
8,4.098788998039624,1.7766758376858292
9,4.095632057829184,1.7770847925980788
10,4.092473663595008,1.777494436957948
11,4.089313812549566,1.77790477262358
12,4.086152501897004,1.7783158014598417
13,4.0829897288331285,1.7787275253380308
14,4.0798254905453755,1.7791399461359108
15,4.0766597842127705,1.7795530657377328
16,4.0734926070059,1.7799668860342615
17,4.07032395608688,1.7803814089227998
18,4.067153828609328,1.7807966363072107
19,4.063982221718316,1.7812125700979438
20,4.060809132550352,1.7816292122120574
21,4.05763455823334,1.7820465645732444
22,4.054458495886552,1.7824646291118575
23,4.05128094262059,1.7828834077649314
24,4.048101895537351,1.7833029024762086
25,4.044921351729999,1.7837231151961634
26,4.041739308282931,1.784144047882028
27,4.038555762271739,1.7845657024978157
28,4.035370710763179,1.7849880810143468
29,4.032184150815137,1.7854111854092718
30,4.028996079476592,1.7858350176670974
31,4.025806493787586,1.786259579779212
32,4.022615390779185,1.7866848737439092
33,4.019422767473448,1.787110901566414
34,4.01622862088339,1.7875376652589068
35,4.013032948012949,1.78796516684055
36,4.009835745856946,1.7883934083375121
37,4.0066370114010565,1.7888223917829924
38,4.003436741621773,1.7892521192172484
39,4.000234933486364,1.789682592687618
40,3.9970315839528454,1.790113814248548
41,3.9938266899699433,1.790545785961618
42,3.9906202484770525,1.790978509895565
43,3.9874122564042067,1.7914119881263106
44,3.984202710672041,1.7918462227369862
45,3.980991608191752,1.7922812158179566
46,3.9777789458650643,1.7927169694668492
47,3.9745647205841927,1.7931534857885758
48,3.9713489292318065,1.7935907668953612
49,3.9681315686809895,1.7940288149067685
50,3.9649126357952045,1.7944676319497221
51,3.961692127428257,1.7949072201585379
52,3.9584700404242565,1.7953475816749453
53,3.955246371617578,1.7957887186481154
54,3.952021117832826,1.7962306332346865
55,3.9487942758847927,1.796673327598788
56,3.9455658425784264,1.7971168039120706
57,3.942335814708787,1.7975610643537274
58,3.9391041890610086,1.7980061111105237
59,3.9358709624102644,1.7984519463768212
60,3.932636131521722,1.7988985723546034
61,3.929399693150511,1.7993459912535044
