iteration,fx,dfx
0,178.459464314435,283.0624807297904
1,106.99372063529853,321.29549778376173
2,11.315861259518641,262.1203213566502
3,5.668774701870884,172.57617721290327
4,3.1216881941802654,116.42844574110063
5,1.867900444144997,80.35866892454412
6,1.1768053998407595,56.53427706735728
7,0.762326336850359,40.45185553467049
8,0.3543272711734309,22.437865942106942
9,0.0677727421537494,8.060275441200757
10,0.00523611179993054,1.2546886526883383
11,0.00020049856382649018,0.5554534375234527
12,1.1942892115747302e-07,0.006065736115119956
13,1.6055045677130606e-13,1.695451240371929e-05
14,4.2553337688467104e-26,2.499890856317253e-12
