Function,Gradient,Iterations,Time
0.4108984619002664,0.5332186854877247,8.0,0.0261428356170654
0.3978883441518788,0.0028073582153432,22.0,0.0399310588836669
0.3978881562735317,0.0022233791157924,22.0,0.042201280593872
0.3978878117481892,0.0013795919425419,17.0,0.0312376022338867
0.3978873580740126,8.70117173598886e-05,6.0,0.0134732723236083
0.397887923838979,0.0021118814808981,15.0,0.0268349647521972
0.3978881191958422,0.0022999112990171,24.0,0.0441763401031494
0.3978873599594236,0.0002195327418056,5.0,0.0104544162750244
0.3978873577811015,3.3663369418168005e-05,7.0,0.011296272277832
0.397887412110637,0.0004408266084017,10.0,0.0222628116607666
0.3978873902593078,0.0003373743148918,5.0,0.0091276168823242
0.3978881001514006,0.0024532545007757,23.0,0.0400326251983642
0.3978883883064358,0.0022614548704069,17.0,0.0276353359222412
0.3978884708474041,0.0026395169208366,20.0,0.0339288711547851
0.3978874726061945,0.0006499338173815,13.0,0.0219409465789794
0.3978877755460678,0.0021219996947653,17.0,0.0252101421356201
0.397887964739587,0.0023118737000286,20.0,0.0410540103912353
0.3978875349367184,0.0015276654119588,14.0,0.0256896018981933
0.3978879251971931,0.0020223348011868,20.0,0.0378594398498535
0.3978884112337028,0.0027179960759938,24.0,0.0510423183441162
0.3978879166436427,0.0016272933902806,22.0,0.0528953075408935
0.39788742384317,0.0010861971094427,12.0,0.0244181156158447
0.3978879582043518,0.0018212705036929,25.0,0.0530774593353271
0.39788781669523,0.0021310462717778,20.0,0.0362648963928222
0.3978878464500255,0.0014897290555806,17.0,0.0309081077575683
0.3978873682725449,0.0004759309892534,7.0,0.0151517391204833
0.3978882819600641,0.0023476022524785,23.0,0.0515909194946289
0.3978879955172686,0.0016348316518348,17.0,0.0310103893280029
0.3978879866146181,0.0017084667818944,21.0,0.0372381210327148
0.3978882546990056,0.002115809935497,22.0,0.0440981388092041
