Function,Gradient,Iterations,Time
0.6616998457639566,1.0137807815681064,7.0,0.0066359043121337
0.6795070534006344,1.654907352791926,3.0,0.0048630237579345
0.5497531639308636,0.7281721109422084,9.0,0.016223669052124
1.490072032418252,2.129356799299276,2.0,0.0023615360260009
0.6323382155154833,1.707940549459492,7.0,0.0124504566192626
0.6101552075057679,0.8659942665682125,7.0,0.0100326538085937
0.4265708285690112,0.7660468262346204,10.0,0.0179028511047363
0.5219336970631087,1.3177521450696283,8.0,0.0136740207672119
1.6899429102040386,2.283468872320363,6.0,0.0099933147430419
0.4348416405662016,0.8726352543047563,11.0,0.0145626068115234
0.4395355627371669,0.7314250937242859,9.0,0.013554573059082
0.425264480090028,0.7072828470644646,2.0,0.0024504661560058
0.7192280813379837,1.059477766164035,10.0,0.0137028694152832
0.4615768985106437,0.4771954847695845,11.0,0.0179462432861328
0.5961504998959861,0.8326975828974094,15.0,0.0215330123901367
2.0873108064423604,2.4041260361258496,10.0,0.0153865814208984
0.6459427461791961,0.9321270570620868,15.0,0.0233881473541259
0.6408341589550275,0.918810925447937,11.0,0.0157699584960937
0.8999222695412668,1.519780519683498,7.0,0.0140280723571777
0.4513117232129646,1.0817311944777144,7.0,0.0099895000457763
0.6551178200191109,1.0067734926307788,9.0,0.0152180194854736
0.588124049135667,0.8144639577597933,13.0,0.0195655822753906
0.8638567764198612,1.45555081826806,2.0,0.0024471282958984
0.4851914572245743,1.350256449533235,9.0,0.0135350227355957
0.54344183125326,0.7370177511980598,11.0,0.0176610946655273
0.5855699457084843,0.8089383926156095,11.0,0.0159330368041992
1.8053971671174087,2.2054325242764152,12.0,0.0182471275329589
0.6267505281173035,0.9062397498280784,15.0,0.022151231765747
1.9346737997636625,2.344355897017314,12.0,0.0187335014343261
0.6689419468048943,0.9763104482322216,8.0,0.0151011943817138
