Function,Iterations,Time
0.5004020386276316,26.0,0.070580244064331
8.992495056483812e-05,1142.0,2.562779188156128
0.0003412703960186,904.0,2.933325290679932
6.1034734511953605e-05,1387.0,3.334271192550659
9.840764010115308e-05,1132.0,2.463031053543091
7.714220900890403e-05,1779.0,3.581943988800049
9.120929959788956e-05,1739.0,3.074301242828369
0.0002136944791453,1063.0,1.9828941822052
9.822617857866605e-05,1691.0,3.094723701477051
0.0001113965604214,1843.0,3.229247093200684
0.0001106744516777,873.0,1.6133363246917725
8.994414989875639e-05,1999.0,3.412074565887451
8.399657268923157e-05,1766.0,4.375310897827148
0.0001056992313816,818.0,1.6214218139648438
8.675404756650833e-05,621.0,0.949948787689209
8.928049132698253e-05,1613.0,3.3217978477478027
9.99891168626632e-05,1755.0,3.65653657913208
0.0001279609247316,1013.0,3.4810609817504883
6.86960364184809e-05,1073.0,2.5372650623321533
7.989024882607606e-05,1987.0,4.367563962936401
7.486984025850511e-05,795.0,2.4178459644317627
9.514464983908111e-05,858.0,2.3811042308807373
0.0001233120480963,332.0,0.5343837738037109
0.0001091701003233,727.0,1.0661745071411133
0.0001209845185838,2474.0,4.998701810836792
0.0001014321045736,509.0,1.8012678623199463
9.12506356232196e-05,1783.0,6.983747720718384
0.0001340179797636,672.0,1.6467325687408447
9.466613850164004e-05,1246.0,1.8920636177062988
8.59606971389754e-05,1304.0,2.5466270446777344
