Epochs,loss,acc,val_loss,val_acc
0,0.5286919474601746,0.8671395778656006,0.7048202753067017,0.6266447305679321
1,0.24371998012065887,0.9014570713043213,7330.02978515625,0.6282894611358643
2,0.33809757232666016,0.9035659432411194,723.5858154296875,0.625
3,0.23368458449840546,0.9231211543083191,16.554338455200195,0.6233552694320679
4,0.1856120526790619,0.9304064512252808,2.4652607440948486,0.7203947305679321
5,0.14951899647712708,0.9449769854545593,0.5893076658248901,0.7763158082962036
6,0.13894318044185638,0.9482361674308777,0.6503068208694458,0.7467105388641357
7,0.15857073664665222,0.9457438588142395,1.4008464813232422,0.5296052694320679
8,0.15580379962921143,0.946319043636322,1.9179893732070923,0.6233552694320679
9,0.1319185495376587,0.949386477470398,0.6058338284492493,0.8141447305679321
10,0.11584173142910004,0.9572469592094421,0.6378823518753052,0.71875
11,0.12182090431451797,0.9551380276679993,0.48760709166526794,0.8371710777282715
12,0.10631659626960754,0.9610812664031982,0.6017200946807861,0.8141447305679321
13,0.10810894519090652,0.9612730145454407,0.36716321110725403,0.8782894611358643
14,0.10172565281391144,0.9633818864822388,0.38165712356567383,0.8355262875556946
15,0.09861911088228226,0.9639570713043213,0.7525771260261536,0.7286184430122375
16,0.09155287593603134,0.9639570713043213,0.45484521985054016,0.8355262875556946
17,0.10521213710308075,0.9633818864822388,0.3860540986061096,0.8585526347160339
18,0.09444192796945572,0.9664493799209595,1.0079779624938965,0.7368420958518982
19,0.09133023768663406,0.9683665633201599,0.31216883659362793,0.8618420958518982
