Epochs,loss,acc,val_loss,val_acc
0,0.8603111505508423,0.7235429286956787,0.7695614695549011,0.6299341917037964
1,0.5659915804862976,0.735237717628479,0.5409255623817444,0.6546052694320679
2,0.4505646228790283,0.7745398879051208,0.4348178803920746,0.8026315569877625
3,0.3968450129032135,0.8149923086166382,0.6044586300849915,0.6200658082962036
4,0.39390504360198975,0.8146088719367981,0.4037514626979828,0.8421052694320679
5,0.33354365825653076,0.8470091819763184,0.37622374296188354,0.8305920958518982
6,0.32851269841194153,0.8441334366798401,0.44024327397346497,0.8355262875556946
7,0.3144543468952179,0.8571702241897583,0.42150717973709106,0.8207237124443054
8,0.31486791372299194,0.8611963391304016,0.38368651270866394,0.8371710777282715
9,0.30478230118751526,0.8663727045059204,0.4751126170158386,0.8190789222717285
10,0.2926591634750366,0.870398759841919,0.41487792134284973,0.8503289222717285
11,0.2801734507083893,0.8725076913833618,0.3385416567325592,0.8519737124443054
12,0.2942344844341278,0.8688650131225586,0.36983782052993774,0.8585526347160339
13,0.2751859724521637,0.8815184235572815,0.3649328649044037,0.8667762875556946
14,0.27363401651382446,0.8794094920158386,0.48907941579818726,0.8388158082962036
15,0.25763481855392456,0.8893788456916809,0.3453483581542969,0.84375
16,0.26268577575683594,0.8888036608695984,0.519943118095398,0.84375
17,0.2558773159980774,0.8922545909881592,0.42086678743362427,0.8371710777282715
18,0.25556424260139465,0.8926380276679993,0.3930283486843109,0.8569079041481018
19,0.24429026246070862,0.893980085849762,0.45405930280685425,0.8404605388641357
