Iterations,Function,Gradient,Time
0,8.850776670501508,9.760118815964423,0.0
1,7.883990755965169,9.559069816004149,0.0003082752227783203
2,6.03555948338284,8.861301814188668,0.0028960704803466797
3,4.364479375968308,7.790951814583394,0.005492448806762695
4,2.941621065727868,6.387828969982609,0.00781393051147461
5,1.828039082719073,4.7122625350581275,0.009674072265625
6,1.0698327025503125,2.8649764171621737,0.011499881744384766
7,0.6834959851966322,1.1679857974359653,0.013299703598022461
8,0.5447687298743068,0.9047750387862455,0.015147924423217773
9,0.4759038081522782,0.7090883539991659,0.016954421997070312
10,0.4392083947458497,0.484840988754797,0.018784284591674805
11,0.4198702868967649,0.3725869537099795,0.020617246627807617
12,0.3978877046731015,0.0018373916995490095,0.022418737411499023
13,0.3978877046731015,0.0018373916995490095,0.024312496185302734
