Iterations,Function,Gradient,Time
0,1410.5683324504787,3060.257224144317,0.0
1,1128.6228692713457,2588.2290756001453,0.00025153160095214844
2,694.065685647378,1794.8001727194276,0.0023467540740966797
3,398.8961520867557,1192.5232404081883,0.004433870315551758
4,207.48333882233945,750.7435638891048,0.008086442947387695
5,93.13422195398411,405.82543138734263,0.011212348937988281
6,45.219987204736086,81.8630231420971,0.012900114059448242
7,41.68144010499431,75.56788824032215,0.014344930648803711
8,38.41415449990525,70.72387865707519,0.01594233512878418
9,35.67374374443129,74.6942565958723,0.017394542694091797
10,32.61100145456309,60.38298341283852,0.0188140869140625
11,30.116472784934775,75.12642839999152,0.02030634880065918
12,27.2448930069207,51.70117756583351,0.021773099899291992
13,24.818978785258757,76.1103652003043,0.023360252380371094
14,22.081152078025035,43.922079480021814,0.02469491958618164
15,19.60320281172035,77.83619203881803,0.025977373123168945
16,16.93185540429148,36.45856194685229,0.027316570281982422
17,14.248081918773146,80.85918073142149,0.028777360916137695
18,11.552828858997449,28.613381303704568,0.030194759368896484
19,8.274512207917414,72.87318926947806,0.031683921813964844
20,5.960892884423709,19.776685610877703,0.03316998481750488
21,3.125855331935983,36.430565779446106,0.03460884094238281
22,2.0179026538136573,11.142723025152739,0.03624272346496582
23,1.2710910933959818,32.1013837689804,0.03782320022583008
24,0.4574986373582619,4.5285076276066425,0.03932046890258789
25,0.32609718370434315,9.372570532611402,0.041768789291381836
26,0.27637714337233454,3.189501992319917,0.04395771026611328
27,0.21336504848001603,5.808444090927959,0.04556584358215332
28,0.17361462422372798,2.28511295049058,0.047025442123413086
29,0.13294600212172902,3.493136228354402,0.04865670204162598
30,0.11104178254852726,1.6503743243148787,0.05015897750854492
31,0.08364433143373318,2.2428686837239082,0.05166888236999512
32,0.06462274839168525,1.16119723538306,0.053061723709106445
33,0.044177447734265574,1.2045611150188458,0.05440020561218262
34,0.029017659865778977,0.8120829873450696,0.05577969551086426
35,0.01411056699665103,0.4197109076073748,0.05721259117126465
36,0.0017703633053211734,1.8304658931591198,0.05845284461975098
37,1.2475870775653675e-06,0.007738109475978837,0.05966973304748535
38,2.3134803945714398e-11,0.00020363869648792437,0.060808420181274414
39,1.5840050654036077e-21,3.2098108436930656e-10,0.061922550201416016
