k,score
2,567.5800435663107
3,488.6889888781972
4,415.394178283411
5,369.1338300621989
6,323.24258718851223
7,294.8745617335653
8,258.0422586073382
9,238.43427029172517
10,216.74430575959252
11,206.95670664905467
12,186.54710265176476
13,178.87273995943895
14,169.5631387739406
15,158.55439403529968
