Iterations,Function,Gradient,Time
0,90098.28900697445,28245.688518114563,0.0
1,88695.02732868998,27885.489885033196,0.004847288131713867
2,85942.07959628743,27176.271994076556,0.010065317153930664
3,83259.29291958644,26482.206064856226,0.019175052642822266
4,80645.1684653147,25802.966777137033,0.024808406829833984
5,78098.23945083891,25138.23835124665,0.03004932403564453
6,75617.07021128054,24487.714129609256,0.035036325454711914
7,73200.25530728932,23851.09618181071,0.04035639762878418
8,70846.4186711809,23228.094931992928,0.045436859130859375
9,68554.21278926608,22618.428807427546,0.05250048637390137
10,66322.31791830683,22021.82390717088,0.05973196029663086
11,64149.44133414511,21438.0136897517,0.06434226036071777
12,62034.31661065185,20866.738678892103,0.0685570240020752
13,59975.70292723958,20307.746186307933,0.07292342185974121
14,57972.384403278076,19760.790050679934,0.07700371742248535
15,56023.16945783912,19225.630391929528,0.08335041999816895
16,54126.89019328132,18702.033379973633,0.0876474380493164
17,52282.40180126686,18189.771017171744,0.09233546257019043
18,50488.58198987957,17688.620933715003,0.0965888500213623
19,48744.33043058517,17198.366195241553,0.10077381134033203
20,47048.568223846116,16718.79512199516,0.10547780990600586
21,45400.23738226975,16249.70111887444,0.10986495018005371
22,43798.30033023168,15790.882515748614,0.11517214775085449
23,42241.73941897835,15342.142417442139,0.1197364330291748
24,40729.55645627053,14903.288562814841,0.12465405464172363
25,39260.77224968614,14474.133192386538,0.1293354034423828
26,37834.4261627544,14054.492923975176,0.13375067710876465
27,36449.57568314593,13644.188635835437,0.13860368728637695
28,35105.29600219408,13243.045356800321,0.14323782920837402
29,33800.67960507082,12850.892162941522,0.14945006370544434
30,32534.835870989675,12467.562080275018,0.15445351600646973
31,31306.890682854115,12092.891993046584,0.16076278686523438
32,30115.98604581676,11726.722557137113,0.16547250747680664
33,28961.27971425998,11368.898118130306,0.17009544372558594
34,27841.944826754734,11019.266633584595,0.17481303215026855
35,26757.169548599843,10677.679599047522,0.18056154251098633
36,25706.156721591495,10343.991977343701,0.1852874755859375
37,24688.12352071856,10018.062130657068,0.19040679931640625
38,23702.301117529394,9699.751754914058,0.19519591331481934
39,22747.93434996485,9388.925815956885,0.199904203414917
40,21824.28139850534,9085.452486974897,0.20473122596740723
41,20930.613468532934,8789.203086637543,0.21113848686218262
42,20066.214478867834,8500.052017344573,0.2159276008605957
43,19230.38075649733,8217.876702978465,0.22102856636047363
44,18422.42073757933,7942.557525510867,0.2260146141052246
45,17641.65467486849,7673.977759779851,0.23074817657470703
46,16887.41435178358,7412.0235057190275,0.23552370071411133
47,16159.042803407841,7156.583617283943,0.24292254447937012
48,15455.894044792027,6907.549627287277,0.2478499412536621
