Results,Alhóndiga,Basilica Colegiata,Callejón del Beso,Casa de Diego Rivera,Jardín de la Unión,Mercado Hidalgo,Monumento Pípila,Museo de las Momias,Teatro Juárez,Universidad de Guanajuato
Mean,46.52903225806452,39.72142857142857,45.533088235294116,49.277936962750715,43.14021164021164,45.625,47.382716049382715,58.22606060606061,41.500990099009904,35.394444444444446
std,33.97373955994239,29.53874817509363,32.94728448357106,30.478067477654996,37.01804987023546,33.49085104182698,35.92120190319492,46.520290892930255,27.11621099858209,20.05728648322911
