,0,1,2,Escala mean,Escala std
2004-12-31,0.0000,0.0000,1.0000,4.0000,
2005-12-31,,,,,
2006-12-31,,,,,
2007-12-31,,,,,
2008-12-31,,,,,
2009-12-31,0.0000,0.0000,1.0000,5.0000,
2010-12-31,0.0000,0.0000,1.0000,5.0000,0.0000
2011-12-31,0.0667,0.0000,0.9333,4.4000,0.8281
2012-12-31,0.0331,0.1457,0.8212,4.2450,0.9163
2013-12-31,0.0163,0.1626,0.8211,4.2520,0.8158
2014-12-31,0.0070,0.1056,0.8873,4.3732,0.7304
2015-12-31,0.0103,0.0928,0.8969,4.3677,0.6940
2016-12-31,0.0193,0.1135,0.8671,4.3913,0.7633
2017-12-31,0.0164,0.1068,0.8767,4.4219,0.7468
2018-12-31,0.0265,0.0796,0.8938,4.5044,0.7920
