iterations,fx,dfx
0,1.0010332752504085e-08,9.993422452473578e-05
1,3.9866238643028935,9.989242254539163e-05
2,1.0008987299288585e-08,9.992750789961776e-05
3,1.0013131382713626e-08,9.994819409633086e-05
4,1.0011997506281412e-08,9.994253450272261e-05
5,1.0008711917638337e-08,9.992613311366701e-05
6,1.0010362997709016e-08,9.993437550636943e-05
7,1.0011095072479183e-08,9.993802989525847e-05
8,1.000811931336738e-08,9.99231745952381e-05
9,1.0006198267336427e-08,9.991358336006573e-05
10,1.0008087493884603e-08,9.992301573712833e-05
11,1.0012527485782097e-08,9.994517986488922e-05
12,3.986623864304762,9.990175058885746e-05
13,3.9866238643020178,9.988804746199902e-05
14,1.0011232482058432e-08,9.993871580489292e-05
15,1.0009723383007172e-08,9.993118255256759e-05
16,1.0006841198560953e-08,9.991679343486104e-05
17,1.0009324933550498e-08,9.99291934430561e-05
18,1.0011224164980056e-08,9.993867428853117e-05
19,1.0010853588287765e-08,9.99368244632837e-05
20,1.0006235268277315e-08,9.991376810390932e-05
21,1.0013378691441013e-08,9.994942846243357e-05
22,1.0009131552995964e-08,9.992822804887867e-05
23,1.0011888106132353e-08,9.994198842946004e-05
24,1.0005342456922436e-08,9.990931024625105e-05
25,1.0004237470802833e-08,9.9903792712596e-05
26,1.001008993902362e-08,9.99330124110799e-05
27,3.9866238643083807,9.991982081816824e-05
28,1.0004736895968707e-08,9.990628653292819e-05
29,1.0012604525577735e-08,9.994556439876648e-05
30,1.0009045016752106e-08,9.992779603972369e-05
31,1.0009470861196646e-08,9.9929921936707e-05
32,1.0007724490996287e-08,9.99212034348435e-05
33,1.0005948138702577e-08,9.991233447137391e-05
34,1.0011476046145e-08,9.993993159614539e-05
35,1.0006967509400742e-08,9.991742407689017e-05
36,1.0003824053487406e-08,9.990172831518005e-05
37,1.0010635251268521e-08,9.993573456400486e-05
38,1.0007252558826704e-08,9.991884725087571e-05
39,1.0004910026142779e-08,9.990715102339188e-05
40,1.0007590512047189e-08,9.992053453281156e-05
41,1.000765667798051e-08,9.992086487278292e-05
42,1.0005615189535616e-08,9.991067203672953e-05
43,1.0007719445155941e-08,9.992117824310992e-05
44,1.0005958328009754e-08,9.991238534674387e-05
45,1.0010805286833584e-08,9.993658335210268e-05
46,1.0007579082469914e-08,9.99204774694051e-05
47,1.0013168930287247e-08,9.994838150457683e-05
48,1.0003875874424783e-08,9.990198708512454e-05
49,1.000505889127642e-08,9.99078943453102e-05
50,1.0012901016808125e-08,9.994704428144658e-05
51,1.0009913222092858e-08,9.993213023909917e-05
52,1.0004515789475323e-08,9.990518247155498e-05
53,1.0013072467146355e-08,9.994790003499362e-05
54,1.0004858692438529e-08,9.990689469971528e-05
55,1.0005819604552905e-08,9.991169269613186e-05
56,1.001099212636589e-08,9.993751601438431e-05
57,3.986623864301944,9.988768153436668e-05
58,1.0004738302636958e-08,9.990629355687139e-05
59,1.0004159477004704e-08,9.99034032541967e-05
60,1.0005583841896596e-08,9.99105155147118e-05
61,1.0011644294594821e-08,9.99407714280483e-05
62,1.00044919201319e-08,9.990506328291888e-05
63,3.9866238643093976,9.992489494395975e-05
64,1.0007098931968484e-08,9.991808023641979e-05
65,1.0012796743642989e-08,9.994652382318414e-05
66,1.000762920257962e-08,9.992072769925695e-05
67,1.000997360102134e-08,9.993243165194877e-05
68,1.0010518514775396e-08,9.993515183147232e-05
69,1.0010013504544786e-08,9.993263085065755e-05
70,1.0006958200003803e-08,9.991737759727033e-05
71,1.0011435666474308e-08,9.993973003522545e-05
72,1.0008713156351661e-08,9.992613929772952e-05
73,1.0010329491891303e-08,9.993420824800507e-05
74,1.0013148270812295e-08,9.994827838861065e-05
75,1.0004473234078088e-08,9.990496997630393e-05
76,1.0007314663086917e-08,9.991915731780817e-05
77,1.0009170709232224e-08,9.992842352534825e-05
78,1.0013138685849886e-08,9.994823054792702e-05
79,1.0011809092077986e-08,9.994159402720561e-05
80,1.0013381929848593e-08,9.994944462585645e-05
81,1.0003657398067807e-08,9.990089611006591e-05
82,1.0009528274913612e-08,9.993020855351334e-05
83,1.0004544312695477e-08,9.990532489856674e-05
84,1.0004542761820257e-08,9.99053171544771e-05
85,1.0013249129594855e-08,9.994878179588561e-05
86,1.0005550676127906e-08,9.99103499143169e-05
87,1.0003658415964386e-08,9.990090119302239e-05
88,1.0006278137250262e-08,9.991398214611585e-05
89,1.0011851770441587e-08,9.994180705839637e-05
90,1.0005846541994588e-08,9.991182719600661e-05
91,1.0004849337412452e-08,9.990684798735835e-05
92,1.000897043786607e-08,9.992742372299561e-05
93,1.000404472343662e-08,9.990283023483815e-05
94,1.000560909032236e-08,9.99106415827434e-05
95,1.0005805079203206e-08,9.991162017032328e-05
96,1.0012680551490583e-08,9.99459438705328e-05
97,1.000690321772363e-08,9.991710308329243e-05
98,1.0009634839245367e-08,9.993074053445764e-05
99,1.0003603603028794e-08,9.990062747941896e-05
