iterations,fx,dfx
0,1.694760011099041e-23,1.3717771103150138e-10
1,2.8646773798286345e-22,4.569679087946116e-10
2,2.0390050973802553e-21,1.4849798904549401e-09
3,1.4298103907130839e-30,4.885788676558555e-14
4,4.930380657631324e-30,4.440892098500626e-15
5,1.886545126921752e-24,1.2967454210769037e-11
6,1.2818989709841442e-30,5.004828258095393e-14
7,7.527085851176108e-17,7.993680916194585e-09
8,2.2570654027102352e-26,6.684378539150931e-12
9,5.4430522917880535e-18,8.735432920981236e-08
10,1.9549849212862282e-19,1.710778227939662e-09
11,6.774484081776054e-24,6.575173283781209e-11
12,1.3252406654464102e-24,1.1410638266102868e-11
13,5.023316360875411e-25,1.8928520493078125e-11
14,3.232961530773656e-27,1.6125069545583036e-12
15,1.2525379230792255e-21,1.1320915223152044e-09
16,1.3435287292045357e-30,5.024737436888045e-14
17,2.559405133717761e-19,1.4181089584579553e-09
18,9.98402083170343e-31,1.9984014443252818e-15
19,1.6130677093765826e-26,2.7872805275419738e-12
20,2.3699623262018966e-21,4.602258704549668e-11
21,1.0217891354816522e-20,4.520600158163366e-09
22,2.94412271849835e-23,5.12586936286469e-12
23,4.3398443907623564e-18,9.172084458265637e-08
24,1.9721522630525295e-31,8.881784197001252e-16
25,1.4404462201936778e-24,5.3362827203461726e-11
26,5.566399762465765e-29,1.879546920745351e-13
27,0.0,0.0
28,9.555753484788392e-24,1.32363613455102e-10
29,1.9121753627348777e-21,1.85767050642128e-09
30,7.529788273899354e-27,1.7523932549181837e-12
31,1.232595164407831e-30,2.220446049250313e-15
32,1.3316032407409194e-16,1.1483558140778846e-08
33,2.4050055340402066e-19,1.9086354559519756e-08
34,4.5803236309395e-29,1.8952206191298446e-13
35,7.888609052210118e-31,1.7763568394002505e-15
36,4.027578655412452e-27,2.902893329640877e-13
37,1.485031270376137e-23,9.953156112988638e-11
38,3.664189879422393e-26,3.317909962527541e-12
39,8.94546486585877e-19,3.548757970773861e-08
40,1.1081698889551974e-19,2.5151465416156436e-09
41,1.9049452613137133e-22,6.145418720908308e-10
42,1.1373032322474615e-27,8.966030547621106e-13
43,4.6338786582378556e-26,3.726497603148188e-12
44,8.645584060410231e-15,8.320459449828923e-08
45,2.0127495104255316e-25,1.9153932840310623e-11
46,2.321908043486172e-25,1.2940107971243188e-11
47,3.627345379084255e-22,8.433984065018854e-10
48,1.649986692605537e-22,5.713957310367267e-10
49,1.0949538184322335e-20,8.118054835005197e-10
50,2.0430564564399405e-20,2.462931561801613e-09
51,3.99891361948421e-24,5.967542230845523e-11
52,9.529860050020886e-23,8.089105439916953e-11
53,1.0945144326566205e-21,8.506590776407516e-10
54,1.3204350677928428e-21,7.397700856199024e-10
55,1.5057752173037742,7.207617061145542
56,9.029770090508687e-22,1.226486666037464e-09
57,1.2818989709841442e-30,5.004828258095393e-14
58,9.564938475804768e-30,4.4561868381695826e-14
59,1.1949387378105355e-16,1.9524680305130366e-08
60,1.9288542764147934e-25,1.956933186934369e-11
61,7.327778252404555e-27,8.906729185356765e-14
62,1.232595164407831e-30,4.965068306494546e-14
63,1.8239663320545245e-24,3.187693795500923e-11
64,7.198355760141733e-30,4.5334091733782785e-14
65,2.329418738860975e-26,8.337722877686838e-13
66,8.212165282867174e-28,1.5011020018818954e-13
67,2.521520848360874e-19,1.3444655564678672e-08
68,6.213512223779876e-29,1.5765166949677223e-14
69,1.9058128912947601e-19,7.420610458077037e-09
70,2.238695388213099,8.80698708340394
71,8.577070459058245e-22,5.910265720070812e-10
72,1.5893624391746912e-26,5.58829474752221e-12
73,8.988356601238222e-24,1.0917964395269993e-10
74,1.3051597739961817e-20,1.3259759282030521e-09
75,1.7366066507037943e-22,1.133370134629219e-10
76,4.996448991038748e-26,8.19028644223265e-13
77,9.668476469615026e-29,3.3339241374938095e-14
78,3.2783530802981385e-26,4.6598059654364005e-12
79,1.471225588237187e-28,4.877878791992119e-13
80,8.479664792468004e-22,1.055412587831865e-09
81,2.2876098462491805e-19,7.855516752533796e-09
82,4.505948494988818e-18,9.087635660942977e-08
83,1.8934633877567336e-27,1.867684423058405e-12
84,7.016502786475679e-16,2.487407579663595e-08
85,8.137138209126338e-18,3.0376491715017327e-09
86,1.3824085762158849,2.94281898879452
87,3.285309847406056e-27,6.485084772252002e-13
88,6.345480652735531e-18,7.040929557216221e-08
89,1.2449211160519093e-30,4.984938470285027e-14
90,9.337118366394884e-23,2.9586839951632174e-10
91,2.1222946800290474e-27,2.6940526514650666e-13
92,1.4698697335563384e-28,1.2852240193144928e-13
93,3.0183869272109486e-25,1.0457191232361403e-11
94,6.1941272489330404e-24,1.090438456741455e-10
95,8.311566687305679e-26,5.15142834519334e-12
96,1.6389078344032283e-23,1.796880960784529e-10
97,2.8286826427995312e-28,2.2031133216483362e-13
98,1.232595164407831e-32,2.220446049250313e-16
99,1.4766088289496388e-20,2.953584736614209e-10
