Iterations,Function,Gradient,Time
0,3.871626007165182,3.4118123604093564,0.0
1,2.380236225028555,2.5877531421947166,0.00018215179443359375
2,0.642074841179963,0.9928057199015123,0.002106189727783203
3,0.49540983500635116,1.0551768522252234,0.003425121307373047
4,0.43594235642423984,0.39514609220653135,0.004708290100097656
5,0.41349340349682284,0.41459447269555144,0.006083250045776367
6,0.4042478824621236,0.16208716330788467,0.007372617721557617
7,0.400524190943736,0.16931348330451582,0.008695602416992188
8,0.39897817146280085,0.06721766719440858,0.010097503662109375
9,0.3983416097837243,0.07009228812391215,0.011389493942260742
10,0.3980763696049708,0.027996656148313346,0.012665033340454102
11,0.3979662166955543,0.029173190956437146,0.014748096466064453
12,0.3979202482161274,0.011681610952932135,0.01697254180908203
13,0.39790109096172566,0.012168933284589954,0.019109725952148438
14,0.397893091185394,0.0048777563898422345,0.020682334899902344
15,0.39788975248484826,0.0050806185506928276,0.02221965789794922
16,0.39788835791710475,0.0020373754316415924,0.023685693740844727
17,0.3978877755460678,0.0021219996947653428,0.025210142135620117
