Iterations,Function,Gradient,Time
0,103913.95413079164,32702.316865992958,0.0
1,100686.80066631659,31844.135422300205,0.004323482513427734
2,94485.53289715195,30181.782270830015,0.014118432998657227
3,88609.49323078712,28591.39048562972,0.018309354782104492
4,83044.54580886272,27070.408956751337,0.025503158569335938
5,77777.05777898629,25616.358813120092,0.029864788055419922
6,72793.88484671287,24226.833387972114,0.03423118591308594
7,68082.356853233,22899.49799072367,0.0390627384185791
8,63630.26341967403,21632.08946362798,0.04563403129577637
9,59425.839703049154,20422.415503793334,0.05004572868347168
10,55457.75231248628,19268.353734185766,0.05567598342895508
11,51715.08543727175,18167.85051126092,0.06058692932128906
12,48187.32724022473,17118.9194620039,0.06527328491210938
13,44864.356570762015,16119.639749527727,0.06996512413024902
14,41736.43005144357,15168.154074079497,0.07510113716125488
15,38794.16958955071,14262.66642535489,0.07958197593688965
16,36028.55036106796,13401.43961235219,0.0838325023651123
17,33430.889308080594,12582.792608392272,0.08987736701965332
18,30992.834181884227,11805.097760984729,0.09591388702392578
19,28706.353152959076,11066.777928284027,0.1002507209777832
20,26563.724995473407,10366.303615012906,0.10564947128295898
21,24557.52983844965,9702.19018966385,0.11025023460388184
22,22680.64045875169,9072.995269916291,0.1147763729095459
23,20926.21407357056,8477.316362619265,0.11917257308959961
24,19287.684573453153,7913.788836291483,0.12564873695373535
25,17758.75512290247,7381.084285821814,0.13028550148010254
26,16333.39104633361,6877.909319253761,0.1345996856689453
27,15005.812915103064,6403.00475449831,0.13937783241271973
28,13770.489758838594,5955.145160522448,0.14690089225769043
29,12622.132343349267,5533.138616582283,0.15160298347473145
30,11555.686488907984,5135.826501526223,0.15722036361694336
31,10566.32644575569,4762.083074465747,0.16478800773620605
32,9649.448394640021,4410.814583898857,0.16950273513793945
33,8800.664191942345,4080.9576634251875,0.17449593544006348
34,8015.795520507109,3771.4768569674807,0.17902255058288574
35,7290.868624470622,3481.3612770885293,0.18408679962158203
36,6622.109783812065,3209.6206340290364,0.18924927711486816
37,6005.941609327369,2955.2811540468338,0.1957082748413086
38,5438.980106785143,2717.3821769742453,0.20046639442443848
39,4918.0322799700825,2494.9744003794563,0.20548605918884277
40,4440.093844517802,2287.1207257223145,0.20999884605407715
41,4002.34645423873,2092.900385488467,0.21458673477172852
42,3602.153755121502,1911.4164770866112,0.21895766258239746
43,3237.055628634251,1741.8062878183898,0.2315073013305664
44,2904.760185016628,1583.253073073713,0.23649239540100098
45,2603.1333859800034,1434.9975581047631,0.24495983123779297
46,2330.1865131788004,1296.3477238995486,0.2522430419921875
47,2084.0618876017434,1166.6866627674663,0.2587714195251465
48,1863.017097139886,1045.4803365586781,0.26808595657348633
49,1665.407405659187,932.2890561083318,0.2741539478302002
50,1489.6651808672045,826.7864427556866,0.27907347679138184
51,1334.2747635608732,728.784876613635,0.2839787006378174
52,1197.7423381872482,638.2558472168658,0.28919076919555664
53,1078.5639500987677,555.3218124036979,0.29414963722229004
54,975.1999423045347,480.1966242178278,0.30323243141174316
55,886.06661011251,413.0791805102199,0.30948829650878906
56,809.5504292127556,354.0486726980105,0.3143794536590576
57,744.0384800942953,303.0124557956863,0.31929612159729004
58,687.9546018697262,259.68666978096235,0.3246731758117676
59,639.8011732119224,223.5594729504771,0.3294250965118408
60,598.2075863505221,193.88900149266962,0.33696746826171875
61,561.9692598852045,169.7902628619361,0.3426032066345215
62,530.0666257941291,150.31172965111577,0.34756946563720703
63,501.6764739263063,134.43748690518942,0.3556528091430664
64,476.18601673315607,121.08584301610247,0.36083126068115234
65,453.19971555756734,109.19842410244426,0.36574721336364746
66,432.5198568225143,97.88869479472545,0.3745453357696533
67,414.1001187255187,86.54680961662166,0.3795044422149658
68,397.9857901131185,74.86678635124971,0.38430142402648926
69,384.26318767538896,62.6929414928574,0.39003992080688477
70,373.11902438647223,49.9918042358598,0.39510107040405273
71,366.2493215616392,74.64537152336507,0.40033745765686035
72,364.59314469716065,32.52416626270324,0.4076850414276123
73,363.3819450370382,54.43979015880471,0.41252613067626953
74,362.5180131207859,22.447171677938506,0.4172980785369873
75,361.89514190300866,38.99622792445239,0.4227333068847656
76,361.45266544912386,16.085180968854388,0.4286525249481201
77,361.09523707508237,31.512955115962228,0.43384218215942383
78,360.8031355103322,13.64835708474769,0.44623517990112305
79,360.51706966410086,30.756629104120126,0.453693151473999
80,360.2375727312422,13.586375862328106,0.46135640144348145
81,359.9379646516651,32.761774719339805,0.4665229320526123
82,359.6216977512366,14.366186162509393,0.4738779067993164
83,359.2727836742826,35.84218721448587,0.4794301986694336
84,358.8960353767667,15.475435958754458,0.48449039459228516
85,358.4744463675193,39.74677720736438,0.4900331497192383
86,358.01383026850294,16.834521096628915,0.49515604972839355
87,357.4907547561153,44.638558590382544,0.49994850158691406
88,356.91363814317833,18.473714162484278,0.505251407623291
89,356.24832616759824,50.81903051085215,0.5135674476623535
