Words,Scores
horrible,2.398296611055334
vayan,1.6923668808777719
respeto,1.3109423258280781
disfrute,1.3004330816743135
pesada,1.185113861041562
loved,1.1689724429747381
cadáveres,1.135100009008335
quite,1.083395270341935
ninguna,1.0583771793269905
miss,1.0223170248532822
turísticos,1.0108651280612526
visitas,0.9442808803488154
engañar,0.9315072118297201
tantas,0.9150140102800581
robo,0.9054950694952617
selfies,0.9046814713609511
propio,0.8990717837081648
disgraceful,0.8971414143989725
families,0.8935038624944556
cero,0.8865279857744534
place,0.8755766153213358
bizarre,0.868470574761604
público,0.8661381891183353
ventilación,0.865269397106974
conditions,0.8317101963296336
pelo,0.8215194672907629
impactante,0.8114734783135972
estacionamiento,0.8092370768208772
menores,0.8088286015315207
mínimo,0.8040530157188557
mismo,0.7990123387907271
pensando,0.790189436043425
aparte,0.7887185181140584
supongo,0.7775470689394963
specimens,0.7669231388348112
exhiben,0.7642762486126494
bellos,0.760876471257244
desperdiciar,0.760876471257244
formaron,0.7418579058665564
envejecer,0.7338289762338979
dicen,0.7303447448110953
look,0.7303377790453396
bien,0.7236318508217587
review,0.7211093609625272
espantos,0.720498372391294
estan,0.7194607509170119
money,0.7154493960909811
died,0.7085114230245154
triste,0.7053888831035915
time,0.6978788121120527
worst,0.6955592155782169
tenebroso,0.6927965519634954
estafa,0.692715798751619
20,0.6824353286603644
deshidratados,0.6611121122222584
exceso,0.6593413654652895
susceptible,0.6593413654652895
get,0.6585718234186235
dado,0.6576235657999966
haberles,0.6576235657999966
sepultura,0.6576235657999966
sorprendió,0.6566116665710227
parents,0.6565584564206144
english,0.6453484064269153
analizarla,0.6412818291748816
cd,0.6412818291748816
pasaron,0.6412818291748816
exhibir,0.636514442101716
subida,0.6309192723265418
película,0.628952844431866
santo,0.628952844431866
vean,0.628952844431866
huele,0.6275614113881725
mummy,0.6267324974882569
realizar,0.6256796278399728
arrepiento,0.623502329646257
beyond,0.621490469568509
pale,0.621490469568509
deberían,0.6128859643797673
según,0.6087848814258545
bellas,0.6015253497110721
dedicado,0.5997248518905173
frescos,0.5997248518905173
honestamente,0.5997248518905173
morbosa,0.5997248518905173
dinero,0.5991874898822465
celebrate,0.5973213316259651
circus,0.5973213316259651
showing,0.5973213316259651
desagradable,0.5969272921069166
whose,0.596733530655156
centre,0.5960034713648701
wasting,0.5960034713648701
admire,0.5945460467974417
cannot,0.5945460467974417
enjoyed,0.5945460467974417
noisy,0.5945460467974417
unorganized,0.5945460467974417
burla,0.5885668382284697
visitar,0.583933516980748
quieren,0.5794460991778132
dejado,0.5779088519911012
line,0.5692838915554738
mexicana,0.5692715584376941
república,0.5692715584376941
tomada,0.5692715584376941
regretted,0.5691385251253056
star,0.5691385251253056
asustar,0.568830569914744
embargo,0.5671641848235154
caros,0.5654356400685893
fotográficas,0.5654356400685893
pequeños,0.5643196708260667
fama,0.5633492653761383
mayores,0.5631318437187001
taxi,0.5628178941489665
zero,0.5607273634588583
creapy,0.5567186364904216
demaciado,0.5567186364904216
muerieron,0.5567186364904216
trágico,0.5567186364904216
mujeres,0.5566487988696954
horrifying,0.55475025318163
sick,0.55475025318163
frío,0.5525388398972171
guía,0.5525273444251781
horas,0.5521580216564739
level,0.5489788435872511
aquellos,0.5477046234263103
dignos,0.5476994424493872
hermosos,0.5476994424493872
sufrieron,0.5474779967647838
sádica,0.5474779967647838
alrededor,0.5469595927811619
adelante,0.5428582044377361
cerrado,0.5369727358675915
costumbre,0.5369727358675915
debía,0.5369727358675915
fantasmas,0.5369727358675915
universidad,0.5369727358675915
ponen,0.5357789764156478
one,0.5349150941244848
find,0.5342250834969354
beautiful,0.534014495699866
disappointment,0.534014495699866
smelled,0.534014495699866
angustia,0.5307308110680442
científico,0.5307308110680442
fundamento,0.5307308110680442
demasiada,0.5269561523275961
55,0.5259788805342572
provided,0.5245736336206505
gustarle,0.5233764490357466
peculiares,0.5233764490357466
sentía,0.5233764490357466
tomando,0.5233764490357466
conocen,0.5227467026756257
iconico,0.5227467026756257
mediocres,0.5227467026756257
necesitan,0.5227467026756257
renovación,0.5227467026756257
urgenteeeeeeeeeeee,0.5227467026756257
vengan,0.5227467026756257
ones,0.5219783772870277
imágenes,0.5150142064042015
ayer,0.5141149978012547
excesivo,0.5141149978012547
formado,0.5141149978012547
fuímos,0.5141149978012547
nuevo,0.5141149978012547
sad,0.5079030386682372
alto,0.5060567357160654
empleados,0.5057550206382483
llevan,0.5057550206382483
storage,0.5051838828544204
displayed,0.504482443543347
pasillos,0.4995598670361543
real,0.4978569170657018
espacios,0.49538787903396975
paga,0.4944261439001659
podría,0.4882751831873156
allá,0.48697186595141095
conocido,0.48669767826036897
insensible,0.48669767826036897
interasante,0.48669767826036897
originalidad,0.48669767826036897
posibilidad,0.48669767826036897
promover,0.48669767826036897
unearthed,0.4862458120656362
wtf,0.4862458120656362
dead,0.48616498378455975
mostrar,0.48457669231069295
agrado,0.4831002166142022
repito,0.4831002166142022
decompose,0.4826308094042213
explanation,0.4826308094042213
gives,0.4826308094042213
watching,0.4826308094042213
whatsoever,0.4826308094042213
escaleras,0.48043627921393767
gigantesca,0.48043627921393767
movimiento,0.48043627921393767
primarias,0.48043627921393767
contributing,0.4785886923132948
head,0.4785886923132948
memory,0.4785886923132948
stole,0.4785886923132948
tipo,0.47858002498261765
desagradó,0.4763747782051709
digna,0.4763747782051709
disfruté,0.4763747782051709
pelos,0.4763747782051709
presentación,0.4763747782051709
atractivos,0.4759120651592459
resto,0.4757805332730568
bastante,0.473237185379452
batallamos,0.47268596653256434
