Epoch,Train acc,Loss,Val acc,Time
1,0.5860819934846574,1.1802864909310156,0.6846846846846847,0.6634030342102051
2,0.6604600147120638,0.7227519477474339,0.6306306306306306,0.668102502822876
3,0.7055912410676755,0.5988467970686968,0.7153153153153153,0.6890010833740234
4,0.7444337168978563,0.5221915464483723,0.7279279279279279,0.6669497489929199
5,0.7741501155947876,0.47930152756046296,0.7441441441441441,0.6689777374267578
6,0.7959850514922235,0.44270662085723106,0.7081081081081081,0.6585490703582764
7,0.8121913093736864,0.4167789326582401,0.7477477477477478,0.7355635166168213
8,0.817219025851198,0.4023038543816971,0.745945945945946,0.6495640277862549
9,0.8448435529634301,0.3598546046769681,0.7441441441441441,0.6443650722503662
10,0.8562913776796973,0.3390717763800965,0.745945945945946,0.6404428482055664
11,0.8671283890290038,0.31640666454611954,0.7603603603603604,0.6691014766693115
12,0.8761231084489282,0.3013537488652653,0.7549549549549549,0.6462917327880859
13,0.8917382566204287,0.2745995751221659,0.745945945945946,0.639756441116333
14,0.9031762295081968,0.2515745920662037,0.7585585585585586,0.6356854438781738
15,0.9132316624632199,0.2345017254822545,0.7531531531531531,0.7329723834991455
16,0.9207748791509038,0.21675505591997343,0.745945945945946,0.6430668830871582
17,0.9320223833543506,0.19619344287570262,0.7549549549549549,0.6449246406555176
18,0.9521233974358975,0.170551140044396,0.7639639639639639,0.6647529602050781
19,0.9560608448928122,0.1558104549575176,0.7621621621621621,0.6535968780517578
20,0.9583037778478352,0.1574177404668718,0.7549549549549549,0.6514945030212402
21,0.956110104035309,0.1488014142424893,0.7603603603603604,0.6448304653167725
22,0.9583333333333334,0.14519961361811587,0.7639639639639639,0.6569173336029053
23,0.9667172393862967,0.13343156845071494,0.7639639639639639,0.7148408889770508
24,0.9675283732660782,0.12732797832857634,0.7549549549549549,0.7366821765899658
25,0.9735478404791928,0.1230921906763928,0.7603603603603604,0.6540992259979248
26,0.9723459174022698,0.1187285406939925,0.7639639639639639,0.6531229019165039
27,0.974749763556116,0.11583332032004481,0.7603603603603604,0.6344938278198242
