Epoch,Train acc,Loss,Val acc,Time
1,0.5723091372425388,1.2510225190406719,0.7315315315315315,0.6750614643096924
2,0.6639048707440102,0.688519057101867,0.7495495495495496,0.663114070892334
3,0.7158075872215216,0.5711757607266676,0.745945945945946,0.6441144943237305
4,0.7520163408995376,0.5087506468993396,0.7045045045045045,0.650658369064331
5,0.7592771385035729,0.49181355312054553,0.7693693693693694,0.6481196880340576
6,0.7883531683480454,0.44385576080295,0.7585585585585586,0.6513001918792725
7,0.8111601513240857,0.41336748120980504,0.7603603603603604,0.6490862369537354
8,0.8197936370323665,0.3995102645792127,0.7693693693693694,0.6419601440429688
9,0.833244666876839,0.37635613316241895,0.7711711711711712,0.6730978488922119
10,0.8454248108448928,0.35295563699711135,0.7657657657657657,0.6483190059661865
11,0.866517575662043,0.31598893546906953,0.7441441441441441,0.7330141067504883
12,0.8785072509457756,0.3012890688192871,0.7693693693693694,0.688262939453125
13,0.8929401796973517,0.2766232257463199,0.7621621621621621,0.6737399101257324
14,0.8969662936107609,0.2581080118227631,0.7765765765765765,0.6704814434051514
15,0.915024695250105,0.23149454021338955,0.7693693693693694,0.6637465953826904
16,0.9194021910466583,0.2235405264074435,0.7639639639639639,0.6401722431182861
17,0.9292573034888608,0.20337235181582192,0.7711711711711712,0.6441097259521484
18,0.9434702080706179,0.1817710390976809,0.7657657657657657,0.6418850421905518
19,0.9448724516603614,0.16759731816474907,0.772972972972973,0.6483838558197021
20,0.9511119430432954,0.1599764595950702,0.772972972972973,0.6306993961334229
21,0.9597257250945775,0.14025830803443767,0.7675675675675676,0.6462788581848145
22,0.9661261296763346,0.1319578665253587,0.7657657657657657,0.6677327156066895
23,0.9713443148381672,0.12220391234148116,0.7657657657657657,0.6451659202575684
