Attempt,2,3,4,5,6
0,118320091408059.22,63002717300644.086,35678851798312.16,23684243510688.812,17435823386172.709
1,118320090989913.17,63002641178337.195,35678983556349.18,23684375777208.492,17435793990711.043
2,118320090989913.16,63002732379930.94,35678940196498.23,23684381097887.96,17435789311335.145
3,118320090859228.66,63002717300644.086,35678856868718.51,23684450444218.848,17435747878976.402
4,118320090780823.14,63002864397010.41,35678923842464.164,23684369746334.844,17435919127820.094
