iteration,t,y,x
0,-1.0,99.0,103.67062073486551
1,-0.984251968503937,102.0,108.34136113385725
2,-0.9685039370078741,112.0,119.35352729963896
3,-0.952755905511811,126.0,137.71932329681232
4,-0.937007874015748,183.0,167.8044244668094
5,-0.9212598425196851,194.0,182.69396538944477
6,-0.905511811023622,192.0,186.27740533548462
7,-0.889763779527559,186.0,184.13815460846777
8,-0.8740157480314961,180.0,180.1370175223562
9,-0.8582677165354331,178.0,176.27272470623487
10,-0.8425196850393701,174.0,170.6812052912823
11,-0.8267716535433071,180.0,161.77070655629416
12,-0.8110236220472441,125.0,134.63106568243606
13,-0.7952755905511811,104.0,117.12234716701306
14,-0.7795275590551181,111.0,112.73618338670175
15,-0.7637795275590551,98.0,110.08610886646508
16,-0.7480314960629921,103.0,119.52233183243757
17,-0.7322834645669292,149.0,145.48080655007476
18,-0.7165354330708662,185.0,167.9202015440058
19,-0.7007874015748031,178.0,173.27968451048974
20,-0.6850393700787402,174.0,173.91888782389162
21,-0.6692913385826771,175.0,174.47680690426256
22,-0.6535433070866141,178.0,174.51153828841376
23,-0.6377952755905512,173.0,171.05759158269666
24,-0.6220472440944882,179.0,165.66127331131224
25,-0.6062992125984252,155.0,146.92601284305695
26,-0.5905511811023623,104.0,120.11686497373086
27,-0.5748031496062992,102.0,109.42442289395387
28,-0.5590551181102362,107.0,106.15654224017736
29,-0.5433070866141732,100.0,102.04514894359376
30,-0.5275590551181102,96.0,99.97901099374087
31,-0.5118110236220472,101.0,101.891965640926
32,-0.49606299212598426,106.0,104.69687769171378
33,-0.4803149606299213,108.0,106.19889841756553
34,-0.4645669291338582,108.0,105.89964162082036
35,-0.44881889763779526,101.0,103.5003947831731
36,-0.4330708661417323,106.0,103.60120181696011
37,-0.4173228346456693,93.0,101.3036735427552
38,-0.40157480314960625,114.0,107.30937262529395
39,-0.3858267716535433,99.0,106.6249307771171
40,-0.3700787401574803,127.0,113.56496142737475
41,-0.35433070866141736,99.0,107.0703832694451
42,-0.3385826771653543,110.0,108.64580697215183
43,-0.3228346456692913,111.0,108.86735114758855
44,-0.30708661417322836,101.0,106.95599068873324
45,-0.2913385826771654,117.0,111.00080527468788
46,-0.2755905511811023,108.0,109.04628544830113
47,-0.25984251968503935,107.0,108.13814630455596
48,-0.2440944881889764,109.0,108.36806981052311
49,-0.22834645669291342,109.0,107.96614510285067
50,-0.21259842519685035,102.0,106.53025614485877
51,-0.19685039370078738,110.0,109.62477271249477
52,-0.18110236220472442,117.0,112.34385849984653
53,-0.16535433070866146,110.0,110.40707665215868
54,-0.14960629921259838,111.0,108.87704373508814
55,-0.13385826771653542,97.0,105.22447214318997
56,-0.11811023622047245,118.0,109.79593497527556
57,-0.10236220472440949,102.0,106.16387791182504
58,-0.08661417322834641,106.0,106.69519686928045
59,-0.07086614173228345,105.0,107.92234509856792
60,-0.055118110236220486,119.0,112.07132574235666
61,-0.03937007874015752,104.0,109.29229904415392
62,-0.023622047244094446,116.0,111.8050848624174
63,-0.007874015748031482,107.0,110.12359832262572
64,0.007874015748031482,109.0,111.56525768778835
65,0.023622047244094446,108.0,115.57273430089246
66,0.03937007874015741,116.0,127.1525113439857
67,0.055118110236220375,144.0,149.8852256950942
68,0.07086614173228356,193.0,178.50273160695633
69,0.08661417322834652,201.0,192.6232346712563
70,0.10236220472440949,202.0,198.3665378209928
71,0.11811023622047245,202.0,200.47649364980805
72,0.13385826771653542,202.0,201.0625343729509
73,0.14960629921259838,202.0,200.71112292379064
74,0.16535433070866135,202.0,199.0704908041428
75,0.1811023622047243,202.0,194.50033858373527
76,0.1968503937007875,200.0,182.43027188936185
77,0.21259842519685046,150.0,152.79052617992005
78,0.22834645669291342,107.0,125.9411324469726
79,0.2440944881889764,113.0,118.03305146046618
80,0.25984251968503935,115.0,115.15787448909809
81,0.2755905511811023,105.0,112.4409279583018
82,0.2913385826771653,126.0,117.16471493517679
83,0.30708661417322825,111.0,113.05375850549316
84,0.32283464566929143,111.0,110.99625390769383
85,0.3385826771653544,103.0,108.93570254346034
86,0.35433070866141736,119.0,112.81040342201307
87,0.3700787401574803,102.0,110.49630056591593
88,0.3858267716535433,111.0,116.67791701216282
89,0.40157480314960625,109.0,128.53824918962542
90,0.4173228346456692,180.0,159.9361683382561
91,0.4330708661417322,176.0,171.27097374161758
92,0.44881889763779537,175.0,177.87607902864227
93,0.46456692913385833,192.0,187.3578409825437
94,0.4803149606299213,198.0,192.19682466426116
95,0.49606299212598426,188.0,191.23305291744464
96,0.5118110236220472,194.0,193.50181451878785
97,0.5275590551181102,196.0,195.27267227462184
98,0.5433070866141732,197.0,196.31579841490867
99,0.5590551181102361,197.0,196.67490389732248
100,0.5748031496062993,197.0,196.70861620276924
101,0.5905511811023623,197.0,196.4510596015437
102,0.6062992125984252,197.0,195.64434981400143
103,0.6220472440944882,194.0,193.48205894862383
104,0.6377952755905512,191.0,190.80167293431685
105,0.6535433070866141,187.0,187.92298988186974
106,0.6692913385826771,186.0,185.96717793940346
107,0.68503937007874,185.0,183.97853956499864
108,0.7007874015748032,180.0,180.96833697271703
109,0.7165354330708662,178.0,178.9264495080817
110,0.7322834645669292,177.0,177.81090567019402
111,0.7480314960629921,178.0,177.50626459322083
112,0.7637795275590551,180.0,176.7077671815019
113,0.7795275590551181,193.0,172.61710071729033
114,0.795275590551181,149.0,148.1433914918042
115,0.811023622047244,106.0,122.8132418282681
116,0.8267716535433072,112.0,114.29616575642602
117,0.8425196850393701,101.0,108.07553318600324
118,0.8582677165354331,112.0,108.93024385336064
119,0.8740157480314961,106.0,106.71555153979438
120,0.889763779527559,106.0,105.21620799823633
121,0.905511811023622,99.0,102.93343942929476
122,0.921259842519685,103.0,104.58391140720455
123,0.9370078740157479,112.0,107.8186103817899
