,0,1,2,Escala mean,Escala std
2016-10-01,0.0857,0.0286,0.8857,4.4000,0.9139
2016-11-01,0.0000,0.1176,0.8824,4.5294,0.7065
2016-12-01,0.0000,0.0270,0.9730,4.7568,0.4947
2017-01-01,0.0000,0.0600,0.9400,4.4400,0.6115
2017-02-01,0.0000,0.1250,0.8750,4.3438,0.7007
2017-03-01,0.0000,0.1714,0.8286,4.3429,0.7648
2017-04-01,0.0526,0.1316,0.8158,4.2105,0.8748
2017-05-01,0.0000,0.0938,0.9062,4.5625,0.6690
2017-06-01,0.0000,0.1250,0.8750,4.5625,0.7274
2017-07-01,0.1000,0.0000,0.9000,4.4000,0.9322
2017-08-01,0.0000,0.0323,0.9677,4.5806,0.5642
2017-09-01,0.0323,0.1290,0.8387,4.3871,0.8437
2017-10-01,0.0000,0.1481,0.8519,4.3704,0.7415
2017-11-01,0.0000,0.1290,0.8710,4.5806,0.7199
2017-12-01,0.0000,0.2500,0.7500,4.3333,0.8876
2018-01-01,0.0417,0.1667,0.7917,4.4167,0.9286
2018-02-01,0.0000,0.1429,0.8571,4.3333,0.7303
2018-03-01,0.0370,0.0370,0.9259,4.4444,0.7511
2018-04-01,0.0000,0.0000,1.0000,4.7500,0.4523
2018-05-01,0.0000,0.1111,0.8889,4.7778,0.6667
2018-06-01,0.0909,0.0000,0.9091,4.2727,1.1909
2018-07-01,0.0000,0.0000,1.0000,5.0000,0.0000
